"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia SAN MIGUEL (000)",14703,3243,11460
"Red pública de desague dentro de la vivienda (001)",1551,1358,193
"Red pública de desague fuera de la vivienda (002)",343,203,140
"Pozo séptico (003)",171,51,120
"Pozo ciego o negro / letrina (004)",8583,1238,7345
"Río, acequia o canal (005)",125,34,91
"No tiene (006)",3930,359,3571
,,,
"URBANA (008)",2536,1941,595
"Red pública de desague dentro de la vivienda (009)",1362,1219,143
"Red pública de desague fuera de la vivienda (010)",222,175,47
"Pozo séptico (011)",46,42,4
"Pozo ciego o negro / letrina (012)",480,329,151
"Río, acequia o canal (013)",34,23,11
"No tiene (014)",392,153,239
,,,
"RURAL (016)",12167,1302,10865
"Red pública de desague dentro de la vivienda (017)",189,139,50
"Red pública de desague fuera de la vivienda (018)",121,28,93
"Pozo séptico (019)",125,9,116
"Pozo ciego o negro / letrina (020)",8103,909,7194
"Río, acequia o canal (021)",91,11,80
"No tiene (022)",3538,206,3332
