"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUAROCHIRI (000)",64644,12404,19597,15457,11459,5727
"Hombres (001)",34356,6347,10572,8484,6038,2915
"Mujeres (002)",30288,6057,9025,6973,5421,2812
"PEA (003)",33548,358,10913,11579,8142,2556
"Hombres (004)",22810,196,7568,7932,5403,1711
"Mujeres (005)",10738,162,3345,3647,2739,845
"Ocupada (006)",32612,346,10407,11337,8005,2517
"Hombres (007)",22181,192,7242,7770,5296,1681
"Mujeres (008)",10431,154,3165,3567,2709,836
"Desocupada (009)",936,12,506,242,137,39
"Hombres (010)",629,4,326,162,107,30
"Mujeres (011)",307,8,180,80,30,9
"No PEA (012)",31096,12046,8684,3878,3317,3171
"Hombres (013)",11546,6151,3004,552,635,1204
"Mujeres (014)",19550,5895,5680,3326,2682,1967
,,,,,,
"URBANA (018)",43878,8576,13119,10364,7856,3963
"Hombres (019)",22440,4382,6760,5365,3937,1996
"Mujeres (020)",21438,4194,6359,4999,3919,1967
"PEA (021)",21997,210,6889,7717,5515,1666
"Hombres (022)",14165,117,4518,4961,3483,1086
"Mujeres (023)",7832,93,2371,2756,2032,580
"Ocupada (024)",21279,202,6507,7533,5405,1632
"Hombres (025)",13689,115,4278,4840,3397,1059
"Mujeres (026)",7590,87,2229,2693,2008,573
"Desocupada (027)",718,8,382,184,110,34
"Hombres (028)",476,2,240,121,86,27
"Mujeres (029)",242,6,142,63,24,7
"No PEA (030)",21881,8366,6230,2647,2341,2297
"Hombres (031)",8275,4265,2242,404,454,910
"Mujeres (032)",13606,4101,3988,2243,1887,1387
,,,,,,
"RURAL (036)",20766,3828,6478,5093,3603,1764
"Hombres (037)",11916,1965,3812,3119,2101,919
"Mujeres (038)",8850,1863,2666,1974,1502,845
"PEA (039)",11551,148,4024,3862,2627,890
"Hombres (040)",8645,79,3050,2971,1920,625
"Mujeres (041)",2906,69,974,891,707,265
"Ocupada (042)",11333,144,3900,3804,2600,885
"Hombres (043)",8492,77,2964,2930,1899,622
"Mujeres (044)",2841,67,936,874,701,263
"Desocupada (045)",218,4,124,58,27,5
"Hombres (046)",153,2,86,41,21,3
"Mujeres (047)",65,2,38,17,6,2
"No PEA (048)",9215,3680,2454,1231,976,874
"Hombres (049)",3271,1886,762,148,181,294
"Mujeres (050)",5944,1794,1692,1083,795,580
