"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",3869,304,6,1026,1536,217,437,74,269
"Empleado (001)",775,3,,17,121,68,300,38,228
"Obrero (002)",631,49,1,196,315,29,22,11,8
"Trabajador independiente (003)",1860,164,4,582,863,104,91,20,32
"Empleador o patrono (004)",22,,,7,11,1,1,1,1
"Trabajador familiar no remunerado (005)",527,84,1,203,200,14,21,4,
"Trabajador del hogar (006)",54,4,,21,26,1,2,,
"Hombres (008)",2615,148,3,718,1161,141,225,55,164
"Empleado (009)",410,2,,9,64,40,134,29,132
"Obrero (010)",556,33,,171,289,26,19,11,7
"Trabajador independiente (011)",1362,84,2,435,680,65,60,12,24
"Empleador o patrono (012)",14,,,3,8,1,,1,1
"Trabajador familiar no remunerado (013)",269,29,1,96,120,9,12,2,
"Trabajador del hogar (014)",4,,,4,,,,,
"Mujeres (016)",1254,156,3,308,375,76,212,19,105
"Empleado (017)",365,1,,8,57,28,166,9,96
"Obrero (018)",75,16,1,25,26,3,3,,1
"Trabajador independiente (019)",498,80,2,147,183,39,31,8,8
"Empleador o patrono (020)",8,,,4,3,,1,,
"Trabajador familiar no remunerado (021)",258,55,,107,80,5,9,2,
"Trabajador del hogar (022)",50,4,,17,26,1,2,,
,,,,,,,,,
"URBANA (024)",2857,150,3,643,1184,195,388,61,233
"Empleado (025)",691,2,,13,106,63,272,34,201
"Obrero (026)",429,24,1,122,232,24,13,7,6
"Trabajador independiente (027)",1345,88,2,366,671,93,84,16,25
"Empleador o patrono (028)",19,,,6,9,1,1,1,1
"Trabajador familiar no remunerado (029)",325,32,,116,145,13,16,3,
"Trabajador del hogar (030)",48,4,,20,21,1,2,,
"Hombres (032)",1853,52,1,427,871,124,193,45,140
"Empleado (033)",361,1,,7,56,35,119,26,117
"Obrero (034)",384,14,,110,215,22,11,7,5
"Trabajador independiente (035)",946,32,1,255,519,58,54,10,17
"Empleador o patrono (036)",12,,,2,7,1,,1,1
"Trabajador familiar no remunerado (037)",146,5,,49,74,8,9,1,
"Trabajador del hogar (038)",4,,,4,,,,,
"Mujeres (040)",1004,98,2,216,313,71,195,16,93
"Empleado (041)",330,1,,6,50,28,153,8,84
"Obrero (042)",45,10,1,12,17,2,2,,1
"Trabajador independiente (043)",399,56,1,111,152,35,30,6,8
"Empleador o patrono (044)",7,,,4,2,,1,,
"Trabajador familiar no remunerado (045)",179,27,,67,71,5,7,2,
"Trabajador del hogar (046)",44,4,,16,21,1,2,,
,,,,,,,,,
"RURAL (048)",1012,154,3,383,352,22,49,13,36
"Empleado (049)",84,1,,4,15,5,28,4,27
"Obrero (050)",202,25,,74,83,5,9,4,2
"Trabajador independiente (051)",515,76,2,216,192,11,7,4,7
"Empleador o patrono (052)",3,,,1,2,,,,
"Trabajador familiar no remunerado (053)",202,52,1,87,55,1,5,1,
"Trabajador del hogar (054)",6,,,1,5,,,,
"Hombres (056)",762,96,2,291,290,17,32,10,24
"Empleado (057)",49,1,,2,8,5,15,3,15
"Obrero (058)",172,19,,61,74,4,8,4,2
"Trabajador independiente (059)",416,52,1,180,161,7,6,2,7
"Empleador o patrono (060)",2,,,1,1,,,,
"Trabajador familiar no remunerado (061)",123,24,1,47,46,1,3,1,
"Mujeres (064)",250,58,1,92,62,5,17,3,12
"Empleado (065)",35,,,2,7,,13,1,12
"Obrero (066)",30,6,,13,9,1,1,,
"Trabajador independiente (067)",99,24,1,36,31,4,1,2,
"Empleador o patrono (068)",1,,,,1,,,,
"Trabajador familiar no remunerado (069)",79,28,,40,9,,2,,
"Trabajador del hogar (070)",6,,,1,5,,,,
