"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUAMANGA (000)",207769,10347,52942,46262,34419,25189,16265,10580,11765
"Quechua (001)",104644,3450,20459,19205,17504,15114,10943,8007,9962
"Aymara (002)",223,1,31,34,42,44,31,21,19
"Ashaninca (003)",42,,12,13,10,3,3,1,
"Otra lengua nativa (004)",118,1,29,29,27,14,9,4,5
"Castellano (005)",102452,6881,32330,26935,16783,9979,5260,2522,1762
"Idioma extranjero (006)",72,1,2,8,21,16,9,11,4
"Es sordomudo/a (007)",218,13,79,38,32,19,10,14,13
"Hombres (009)",101044,5327,26818,22733,16504,11964,7686,4939,5073
"Quechua (010)",49544,1767,10395,9518,8218,6988,4954,3575,4129
"Aymara (011)",113,1,11,16,20,24,20,13,8
"Ashaninca (012)",24,,5,7,8,2,2,,
"Otra lengua nativa (013)",54,1,11,18,14,3,3,1,3
"Castellano (014)",51166,3553,16349,13155,8223,4931,2695,1336,924
"Idioma extranjero (015)",38,1,2,2,10,4,7,8,4
"Es sordomudo/a (016)",105,4,45,17,11,12,5,6,5
"Mujeres (018)",106725,5020,26124,23529,17915,13225,8579,5641,6692
"Quechua (019)",55100,1683,10064,9687,9286,8126,5989,4432,5833
"Aymara (020)",110,,20,18,22,20,11,8,11
"Ashaninca (021)",18,,7,6,2,1,1,1,
"Otra lengua nativa (022)",64,,18,11,13,11,6,3,2
"Castellano (023)",51286,3328,15981,13780,8560,5048,2565,1186,838
"Idioma extranjero (024)",34,,,6,11,12,2,3,
"Es sordomudo/a (025)",113,9,34,21,21,7,5,8,8
,,,,,,,,,
"URBANA (027)",152369,6883,36566,35986,26855,19188,12089,7327,7475
"Quechua (028)",54245,618,6288,10089,10403,9372,6894,4835,5746
"Aymara (029)",179,,18,29,33,41,26,20,12
"Ashaninca (030)",38,,9,12,10,3,3,1,
"Otra lengua nativa (031)",111,1,27,28,26,12,8,4,5
"Castellano (032)",97595,6256,30173,25793,16348,9732,5142,2447,1704
"Idioma extranjero (033)",72,1,2,8,21,16,9,11,4
"Es sordomudo/a (034)",129,7,49,27,14,12,7,9,4
"Hombres (036)",73936,3535,18430,17623,12844,9047,5747,3510,3200
"Quechua (037)",25133,318,3158,5030,4817,4217,3095,2196,2302
"Aymara (038)",94,,5,13,16,22,20,13,5
"Ashaninca (039)",23,,4,7,8,2,2,,
"Otra lengua nativa (040)",53,1,11,17,14,3,3,1,3
"Castellano (041)",48528,3213,15218,12542,7974,4792,2616,1288,885
"Idioma extranjero (042)",38,1,2,2,10,4,7,8,4
"Es sordomudo/a (043)",67,2,32,12,5,7,4,4,1
"Mujeres (045)",78433,3348,18136,18363,14011,10141,6342,3817,4275
"Quechua (046)",29112,300,3130,5059,5586,5155,3799,2639,3444
"Aymara (047)",85,,13,16,17,19,6,7,7
"Ashaninca (048)",15,,5,5,2,1,1,1,
"Otra lengua nativa (049)",58,,16,11,12,9,5,3,2
"Castellano (050)",49067,3043,14955,13251,8374,4940,2526,1159,819
"Idioma extranjero (051)",34,,,6,11,12,2,3,
"Es sordomudo/a (052)",62,5,17,15,9,5,3,5,3
,,,,,,,,,
"RURAL (054)",55400,3464,16376,10276,7564,6001,4176,3253,4290
"Quechua (055)",50399,2832,14171,9116,7101,5742,4049,3172,4216
"Aymara (056)",44,1,13,5,9,3,5,1,7
"Ashaninca (057)",4,,3,1,,,,,
"Otra lengua nativa (058)",7,,2,1,1,2,1,,
"Castellano (059)",4857,625,2157,1142,435,247,118,75,58
"Es sordomudo/a (061)",89,6,30,11,18,7,3,5,9
"Hombres (063)",27108,1792,8388,5110,3660,2917,1939,1429,1873
"Quechua (064)",24411,1449,7237,4488,3401,2771,1859,1379,1827
"Aymara (065)",19,1,6,3,4,2,,,3
"Ashaninca (066)",1,,1,,,,,,
"Otra lengua nativa (067)",1,,,1,,,,,
"Castellano (068)",2638,340,1131,613,249,139,79,48,39
"Es sordomudo/a (070)",38,2,13,5,6,5,1,2,4
"Mujeres (072)",28292,1672,7988,5166,3904,3084,2237,1824,2417
"Quechua (073)",25988,1383,6934,4628,3700,2971,2190,1793,2389
"Aymara (074)",25,,7,2,5,1,5,1,4
"Ashaninca (075)",3,,2,1,,,,,
"Otra lengua nativa (076)",6,,2,,1,2,1,,
"Castellano (077)",2219,285,1026,529,186,108,39,27,19
"Es sordomudo/a (079)",51,4,17,6,12,2,2,3,5
