"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CHICLAYO (000)",308939,290622,95745,45446,45219,34722,36945,16721,15824,18317
"Católica (001)",255907,240244,79454,38586,38164,28811,29739,13139,12351,15663
"Cristiana/Evangélica (002)",38431,36575,11260,4671,5014,4409,5573,2847,2801,1856
"Otra (003)",9144,8664,3038,1228,1222,975,1151,542,508,480
"Ninguna (004)",5457,5139,1993,961,819,527,482,193,164,318
,,,,,,,,,,
"URBANA (006)",290811,273553,90453,43229,42985,32909,34615,15410,13952,17258
"Católica (007)",240798,226057,74944,36725,36300,27316,27834,12095,10843,14741
"Cristiana/Evangélica (008)",36116,34370,10687,4423,4744,4174,5238,2625,2479,1746
"Otra (009)",8810,8343,2944,1189,1184,935,1098,517,476,467
"Ninguna (010)",5087,4783,1878,892,757,484,445,173,154,304
,,,,,,,,,,
"RURAL (012)",18128,17069,5292,2217,2234,1813,2330,1311,1872,1059
"Católica (013)",15109,14187,4510,1861,1864,1495,1905,1044,1508,922
"Cristiana/Evangélica (014)",2315,2205,573,248,270,235,335,222,322,110
"Otra (015)",334,321,94,39,38,40,53,25,32,13
"Ninguna (016)",370,356,115,69,62,43,37,20,10,14
