"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia GRAN CHIMU",,,,,,,,
"Viviendas particulares (001)",7368,6136,1146,38,5,10,3,30
"Ocupantes presentes (002)",29400,24772,4327,138,21,32,10,100
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",7266,6077,1108,37,4,9,3,28
"Ocupantes presentes (005)",29027,24560,4182,137,16,27,10,95
"Departamento en edificio",,,,,,,,
"Viviendas particulares (007)",22,,20,1,1,,,
"Ocupantes presentes (008)",66,,60,1,5,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",6,,6,,,,,
"Ocupantes presentes (011)",44,,44,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",17,5,10,,,1,,1
"Ocupantes presentes (014)",97,51,37,,,5,,4
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",53,51,1,,,,,1
"Ocupantes presentes (017)",160,157,2,,,,,1
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",2,2,,,,,,
"Ocupantes presentes (020)",3,3,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",2,1,1,,,,,
"Ocupantes presentes (023)",3,1,2,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",1636,847,725,34,4,6,,20
"Ocupantes presentes (029)",6480,3444,2798,127,20,19,,72
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",1588,840,688,33,3,5,,19
"Ocupantes presentes (032)",6268,3390,2655,126,15,14,,68
"Departamento en edificio",,,,,,,,
"Viviendas particulares (034)",22,,20,1,1,,,
"Ocupantes presentes (035)",66,,60,1,5,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",6,,6,,,,,
"Ocupantes presentes (038)",44,,44,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",17,5,10,,,1,,1
"Ocupantes presentes (041)",97,51,37,,,5,,4
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",2,2,,,,,,
"Ocupantes presentes (047)",3,3,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",1,,1,,,,,
"Ocupantes presentes (050)",2,,2,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",5732,5289,421,4,1,4,3,10
"Ocupantes presentes (056)",22920,21328,1529,11,1,13,10,28
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",5678,5237,420,4,1,4,3,9
"Ocupantes presentes (059)",22759,21170,1527,11,1,13,10,27
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",53,51,1,,,,,1
"Ocupantes presentes (071)",160,157,2,,,,,1
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",1,1,,,,,,
"Ocupantes presentes (077)",1,1,,,,,,
"Otro tipo",,,,,,,,
