"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CORONEL PORTILLO (000)",85500,2330,38264,21886,6910,2676,1191,359,54,,11830
"Catolica (001)",57425,1218,24853,15247,5130,1937,835,241,38,,7926
"Cristiana / Evangelica (002)",20025,790,9759,4695,1256,538,260,83,10,,2634
"Otra (003)",4640,130,2022,1221,358,143,65,28,3,,670
"Ninguna (004)",3410,192,1630,723,166,58,31,7,3,,600
,,,,,,,,,,,
"URBANA (006)",74574,1476,32366,20176,6463,2461,1084,320,47,,10181
"Catolica (007)",51917,881,21873,14287,4872,1804,779,218,32,,7171
"Cristiana / Evangelica (008)",16217,443,7635,4174,1141,489,225,69,10,,2031
"Otra (009)",4053,81,1720,1115,326,130,64,27,3,,587
"Ninguna (010)",2387,71,1138,600,124,38,16,6,2,,392
,,,,,,,,,,,
"RURAL (012)",10926,854,5898,1710,447,215,107,39,7,,1649
"Catolica (013)",5508,337,2980,960,258,133,56,23,6,,755
"Cristiana / Evangelica (014)",3808,347,2124,521,115,49,35,14,,,603
"Otra (015)",587,49,302,106,32,13,1,1,,,83
"Ninguna (016)",1023,121,492,123,42,20,15,1,1,,208
