"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia SANCHEZ CARRION (000)",136221,132137,3352,732
"Hombres (001)",66321,64776,1195,350
"Mujeres (002)",69900,67361,2157,382
"Menores de 1 año (003)",3762,2964,645,153
"Hombres (004)",1883,1460,340,83
"Mujeres (005)",1879,1504,305,70
"De 1 a 5 años (006)",19697,18346,918,433
"Hombres (007)",9949,9299,453,197
"Mujeres (008)",9748,9047,465,236
"De 6 a 14 años (009)",34611,34294,235,82
"Hombres (010)",17453,17318,88,47
"Mujeres (011)",17158,16976,147,35
"De 15 a 29 años (012)",33389,33193,166,30
"Hombres (013)",16043,15981,48,14
"Mujeres (014)",17346,17212,118,16
"De 30 a 44 años (015)",21851,21708,141,2
"Hombres (016)",10245,10207,37,1
"Mujeres (017)",11606,11501,104,1
"De 45 a 64 años (018)",15653,15261,380,12
"Hombres (019)",7398,7326,69,3
"Mujeres (020)",8255,7935,311,9
"De 65 a más años (021)",7258,6371,867,20
"Hombres (022)",3350,3185,160,5
"Mujeres (023)",3908,3186,707,15
,,,,
"URBANA (024)",36585,36032,391,162
"Hombres (025)",17439,17228,128,83
"Mujeres (026)",19146,18804,263,79
"Menores de 1 año (027)",802,664,94,44
"Hombres (028)",400,322,48,30
"Mujeres (029)",402,342,46,14
"De 1 a 5 años (030)",4272,4063,110,99
"Hombres (031)",2143,2048,51,44
"Mujeres (032)",2129,2015,59,55
"De 6 a 14 años (033)",8456,8428,14,14
"Hombres (034)",4240,4226,5,9
"Mujeres (035)",4216,4202,9,5
"De 15 a 29 años (036)",10100,10082,15,3
"Hombres (037)",4780,4778,2,
"Mujeres (038)",5320,5304,13,3
"De 30 a 44 años (039)",6691,6681,10,
"Hombres (040)",3012,3011,1,
"Mujeres (041)",3679,3670,9,
"De 45 a 64 años (042)",4459,4419,40,
"Hombres (043)",2035,2032,3,
"Mujeres (044)",2424,2387,37,
"De 65 a más años (045)",1805,1695,108,2
"Hombres (046)",829,811,18,
"Mujeres (047)",976,884,90,2
,,,,
"RURAL (048)",99636,96105,2961,570
"Hombres (049)",48882,47548,1067,267
"Mujeres (050)",50754,48557,1894,303
"Menores de 1 año (051)",2960,2300,551,109
"Hombres (052)",1483,1138,292,53
"Mujeres (053)",1477,1162,259,56
"De 1 a 5 años (054)",15425,14283,808,334
"Hombres (055)",7806,7251,402,153
"Mujeres (056)",7619,7032,406,181
"De 6 a 14 años (057)",26155,25866,221,68
"Hombres (058)",13213,13092,83,38
"Mujeres (059)",12942,12774,138,30
"De 15 a 29 años (060)",23289,23111,151,27
"Hombres (061)",11263,11203,46,14
"Mujeres (062)",12026,11908,105,13
"De 30 a 44 años (063)",15160,15027,131,2
"Hombres (064)",7233,7196,36,1
"Mujeres (065)",7927,7831,95,1
"De 45 a 64 años (066)",11194,10842,340,12
"Hombres (067)",5363,5294,66,3
"Mujeres (068)",5831,5548,274,9
"De 65 a más años (069)",5453,4676,759,18
"Hombres (070)",2521,2374,142,5
"Mujeres (071)",2932,2302,617,13
