"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CASTILLA (000)",16479,238,4681,6007,4265,1288
"Agric., ganadería, caza y silvicultura (001)",8063,152,1982,2471,2441,1017
"Pesca (002)",240,2,97,97,39,5
"Explotación de minas y canteras (003)",1673,,556,857,259,1
"Industrias manufactureras (004)",489,15,193,147,110,24
"Suministro de electricidad, gas y agua (005)",43,,14,14,14,1
"Construcción (006)",859,4,349,329,164,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1563,20,415,594,432,102
"Venta, mant.y rep. veh.autom.y motoc. (008)",146,,55,57,31,3
"Comercio al por mayor (009)",60,,19,20,15,6
"Comercio al por menor (010)",1357,20,341,517,386,93
"Hoteles y restaurantes (011)",527,11,185,173,122,36
"Trans., almac. y comunicaciones (012)",597,6,227,238,114,12
"Intermediación financiera (013)",16,,1,8,7,
"Activid.inmobil., empres. y alquileres (014)",310,1,93,139,69,8
"Admin.pub. y defensa; p. segur.soc.afil (015)",536,,131,264,133,8
"Enseñanza (016)",592,,99,341,147,5
"Servicios sociales y de salud (017)",197,,32,101,61,3
"Otras activ. serv.comun.soc y personales (018)",295,7,119,99,57,13
"Hogares privados con servicio doméstico (019)",220,19,126,45,22,8
"Actividad economica no especificada (021)",259,1,62,90,74,32
"Hombres (022)",11486,159,3227,4122,3020,958
"Agric., ganadería, caza y silvicultura (023)",5882,111,1398,1744,1824,805
"Pesca (024)",235,2,96,93,39,5
"Explotación de minas y canteras (025)",1633,,537,840,255,1
"Industrias manufactureras (026)",373,12,153,113,76,19
"Suministro de electricidad, gas y agua (027)",43,,14,14,14,1
"Construcción (028)",840,3,340,322,163,12
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",651,11,173,220,195,52
"Venta, mant.y rep. veh.autom.y motoc. (030)",141,,54,57,27,3
"Comercio al por mayor (031)",34,,11,11,10,2
"Comercio al por menor (032)",476,11,108,152,158,47
"Hoteles y restaurantes (033)",154,5,66,42,29,12
"Trans., almac. y comunicaciones (034)",520,5,178,220,105,12
"Intermediación financiera (035)",9,,1,4,4,
"Activid.inmobil., empres. y alquileres (036)",233,1,61,106,60,5
"Admin.pub. y defensa; p. segur.soc.afil (037)",359,,71,177,105,6
"Enseñanza (038)",200,,28,108,61,3
"Servicios sociales y de salud (039)",80,,11,37,30,2
"Otras activ. serv.comun.soc y personales (040)",167,4,71,51,32,9
