"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia SANTA",,,,,,,,,
"Viviendas particulares (001)",89198,8128,19505,23047,17813,9748,5116,2415,3426
"Ocupantes presentes (002)",392074,24582,72089,100080,84933,49424,27449,13652,19865
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",83754,6681,17557,21868,17271,9531,5064,2390,3392
"Ocupantes presentes (005)",373504,20783,65855,95468,82590,48416,27207,13485,19700
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",954,208,172,219,182,103,33,12,25
"Ocupantes presentes (008)",3342,443,554,841,718,458,135,76,117
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",482,147,106,97,64,27,19,13,9
"Ocupantes presentes (011)",1734,373,335,385,262,133,107,91,48
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",367,147,93,63,41,23,,,
"Ocupantes presentes (014)",1408,381,417,302,184,124,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",352,103,158,57,22,12,,,
"Ocupantes presentes (017)",1053,252,439,219,90,53,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",3155,771,1388,720,224,52,,,
"Ocupantes presentes (020)",10701,2194,4408,2800,1059,240,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",125,62,31,23,9,,,,
"Ocupantes presentes (023)",297,121,81,65,30,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",9,9,,,,,,,
"Ocupantes presentes (026)",35,35,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",82681,7475,17742,21177,16557,9191,4847,2327,3365
"Ocupantes presentes (029)",366116,22727,66019,92404,79371,46700,26113,13221,19561
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",77592,6133,15953,20055,16037,8986,4795,2302,3331
"Ocupantes presentes (032)",348607,19185,60227,88011,77118,45745,25871,13054,19396
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",954,208,172,219,182,103,33,12,25
"Ocupantes presentes (035)",3342,443,554,841,718,458,135,76,117
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",482,147,106,97,64,27,19,13,9
"Ocupantes presentes (038)",1734,373,335,385,262,133,107,91,48
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",367,147,93,63,41,23,,,
"Ocupantes presentes (041)",1408,381,417,302,184,124,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",3155,771,1388,720,224,52,,,
"Ocupantes presentes (047)",10701,2194,4408,2800,1059,240,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",122,60,30,23,9,,,,
"Ocupantes presentes (050)",289,116,78,65,30,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",9,9,,,,,,,
"Ocupantes presentes (053)",35,35,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",6517,653,1763,1870,1256,557,269,88,61
"Ocupantes presentes (056)",25958,1855,6070,7676,5562,2724,1336,431,304
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",6162,548,1604,1813,1234,545,269,88,61
"Ocupantes presentes (059)",24897,1598,5628,7457,5472,2671,1336,431,304
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",352,103,158,57,22,12,,,
"Ocupantes presentes (071)",1053,252,439,219,90,53,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",3,2,1,,,,,,
"Ocupantes presentes (077)",8,5,3,,,,,,
"Otro tipo",,,,,,,,,
