"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",11948,30,122,415,934,2197,4760,3490
"De 12 a 14 años (001)",17,,,,,,,17
"De 15 a 19 años (002)",312,,,,,,181,131
"De 20 a 24 años (003)",1805,,,,,2,1060,743
"De 25 a 29 años (004)",1978,,,,,63,1242,673
"De 30 a 34 años (005)",1665,,,,,266,940,459
"De 35 a 39 años (006)",1526,,,,9,483,708,326
"De 40 a 44 años (007)",1127,,,,62,454,396,215
"De 45 a 49 años (008)",886,,,2,132,413,188,151
"De 50 y más años (009)",2632,30,122,413,731,516,45,775
"PEA (010)",3507,3,16,81,303,765,1270,1069
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",64,,,,,,41,23
"De 20 a 24 años (013)",439,,,,,,230,209
"De 25 a 29 años (014)",557,,,,,20,326,211
"De 30 a 34 años (015)",567,,,,,98,284,185
"De 35 a 39 años (016)",495,,,,3,176,195,121
"De 40 a 44 años (017)",410,,,,28,168,131,83
"De 45 a 49 años (018)",295,,,,55,142,48,50
"De 50 y más años (019)",679,3,16,81,217,161,15,186
"Ocupada (020)",3208,2,16,76,290,716,1165,943
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",55,,,,,,35,20
"De 20 a 24 años (023)",373,,,,,,204,169
"De 25 a 29 años (024)",500,,,,,19,295,186
"De 30 a 34 años (025)",519,,,,,90,263,166
"De 35 a 39 años (026)",454,,,,3,164,179,108
"De 40 a 44 años (027)",383,,,,26,155,128,74
"De 45 a 49 años (028)",277,,,,51,136,47,43
"De 50 y más años (029)",646,2,16,76,210,152,14,176
"Desocupada (030)",299,1,,5,13,49,105,126
"De 15 a 19 años (032)",9,,,,,,6,3
"De 20 a 24 años (033)",66,,,,,,26,40
"De 25 a 29 años (034)",57,,,,,1,31,25
"De 30 a 34 años (035)",48,,,,,8,21,19
"De 35 a 39 años (036)",41,,,,,12,16,13
"De 40 a 44 años (037)",27,,,,2,13,3,9
"De 45 a 49 años (038)",18,,,,4,6,1,7
"De 50 y más años (039)",33,1,,5,7,9,1,10
"No PEA (040)",8441,27,106,334,631,1432,3490,2421
"De 12 a 14 años (041)",16,,,,,,,16
"De 15 a 19 años (042)",248,,,,,,140,108
"De 20 a 24 años (043)",1366,,,,,2,830,534
"De 25 a 29 años (044)",1421,,,,,43,916,462
"De 30 a 34 años (045)",1098,,,,,168,656,274
"De 35 a 39 años (046)",1031,,,,6,307,513,205
"De 40 a 44 años (047)",717,,,,34,286,265,132
"De 45 a 49 años (048)",591,,,2,77,271,140,101
