"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",11678,563,6292,2384,568,233,133,37,4,,1464
"Catolica (001)",6457,337,3534,1244,281,111,70,21,3,,856
"Cristiana / Evangelica (002)",2986,147,1707,589,132,58,35,5,,,313
"Otra (003)",1884,49,859,489,146,58,27,11,1,,244
"Ninguna (004)",351,30,192,62,9,6,1,,,,51
,,,,,,,,,,,
"URBANA (006)",3783,131,1910,885,209,83,47,13,1,,504
"Catolica (007)",2414,91,1222,552,139,50,32,9,1,,318
"Cristiana / Evangelica (008)",891,32,463,204,46,26,10,3,,,107
"Otra (009)",347,5,159,99,21,3,5,1,,,54
"Ninguna (010)",131,3,66,30,3,4,,,,,25
,,,,,,,,,,,
"RURAL (012)",7895,432,4382,1499,359,150,86,24,3,,960
"Catolica (013)",4043,246,2312,692,142,61,38,12,2,,538
"Cristiana / Evangelica (014)",2095,115,1244,385,86,32,25,2,,,206
"Otra (015)",1537,44,700,390,125,55,22,10,1,,190
"Ninguna (016)",220,27,126,32,6,2,1,,,,26
