"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ALTO AMAZONAS (000)",24490,770,12511,5657,1529,522,253,100,9,,3139
"Sin Nivel (001)",3695,223,1909,606,146,68,35,19,4,,685
"Educación Inicial (002)",24,2,14,3,2,,,,,,3
"Primaria (003)",12324,470,7306,2416,461,155,130,53,4,,1329
"Secundaria (004)",5967,70,2834,1773,409,127,42,15,1,,696
"Sup. no Univ. Incompleta (005)",526,2,127,197,76,22,5,,,,97
"Sup. no Univ. Completa (006)",904,3,157,333,196,62,18,6,,,129
"Sup. Univ. Incompleta (007)",315,,78,104,44,13,8,2,,,66
"Sup. Univ. Completa (008)",735,,86,225,195,75,15,5,,,134
,,,,,,,,,,,
"URBANA (010)",15867,363,7552,4202,1223,417,200,75,7,,1828
"Sin Nivel (011)",1043,61,520,191,39,27,15,9,2,,179
"Educación Inicial (012)",9,1,4,2,1,,,,,,1
"Primaria (013)",7247,239,4181,1595,314,110,103,40,4,,661
"Secundaria (014)",5190,59,2415,1587,377,114,38,13,1,,586
"Sup. no Univ. Incompleta (015)",502,1,122,188,72,22,5,,,,92
"Sup. no Univ. Completa (016)",863,2,152,321,188,59,17,6,,,118
"Sup. Univ. Incompleta (017)",301,,77,101,40,12,8,2,,,61
"Sup. Univ. Completa (018)",712,,81,217,192,73,14,5,,,130
,,,,,,,,,,,
"RURAL (020)",8623,407,4959,1455,306,105,53,25,2,,1311
"Sin Nivel (021)",2652,162,1389,415,107,41,20,10,2,,506
"Educación Inicial (022)",15,1,10,1,1,,,,,,2
"Primaria (023)",5077,231,3125,821,147,45,27,13,,,668
"Secundaria (024)",777,11,419,186,32,13,4,2,,,110
"Sup. no Univ. Incompleta (025)",24,1,5,9,4,,,,,,5
"Sup. no Univ. Completa (026)",41,1,5,12,8,3,1,,,,11
"Sup. Univ. Incompleta (027)",14,,1,3,4,1,,,,,5
"Sup. Univ. Completa (028)",23,,5,8,3,2,1,,,,4
