"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SANTA CRUZ (000)",38668,4742,721,19750,10652,695,1127,300,681
"Hombres (001)",19341,1287,361,9951,6221,371,595,171,384
"Mujeres (002)",19327,3455,360,9799,4431,324,532,129,297
"PEA (003)",11753,960,12,5255,3681,240,877,155,573
"Hombres (004)",9402,647,11,4475,3145,166,515,105,338
"Mujeres (005)",2351,313,1,780,536,74,362,50,235
"Ocupada (006)",11122,910,10,4979,3423,231,858,148,563
"Hombres (007)",8870,609,9,4235,2924,159,503,99,332
"Mujeres (008)",2252,301,1,744,499,72,355,49,231
"Desocupada (009)",631,50,2,276,258,9,19,7,10
"Hombres (010)",532,38,2,240,221,7,12,6,6
"Mujeres (011)",99,12,,36,37,2,7,1,4
"No PEA (012)",26915,3782,709,14495,6971,455,250,145,108
"Hombres (013)",9939,640,350,5476,3076,205,80,66,46
"Mujeres (014)",16976,3142,359,9019,3895,250,170,79,62
,,,,,,,,,
"URBANA (018)",8191,398,153,2981,2728,420,777,210,524
"Hombres (019)",4055,96,77,1385,1484,213,397,115,288
"Mujeres (020)",4136,302,76,1596,1244,207,380,95,236
"PEA (021)",3195,73,,749,1049,145,615,118,446
"Hombres (022)",2119,30,,515,792,98,351,79,254
"Mujeres (023)",1076,43,,234,257,47,264,39,192
"Ocupada (024)",3066,68,,713,990,140,604,112,439
"Hombres (025)",2023,27,,486,745,95,345,74,251
"Mujeres (026)",1043,41,,227,245,45,259,38,188
"Desocupada (027)",129,5,,36,59,5,11,6,7
"Hombres (028)",96,3,,29,47,3,6,5,3
"Mujeres (029)",33,2,,7,12,2,5,1,4
"No PEA (030)",4996,325,153,2232,1679,275,162,92,78
"Hombres (031)",1936,66,77,870,692,115,46,36,34
"Mujeres (032)",3060,259,76,1362,987,160,116,56,44
,,,,,,,,,
"RURAL (036)",30477,4344,568,16769,7924,275,350,90,157
"Hombres (037)",15286,1191,284,8566,4737,158,198,56,96
"Mujeres (038)",15191,3153,284,8203,3187,117,152,34,61
"PEA (039)",8558,887,12,4506,2632,95,262,37,127
"Hombres (040)",7283,617,11,3960,2353,68,164,26,84
"Mujeres (041)",1275,270,1,546,279,27,98,11,43
"Ocupada (042)",8056,842,10,4266,2433,91,254,36,124
"Hombres (043)",6847,582,9,3749,2179,64,158,25,81
"Mujeres (044)",1209,260,1,517,254,27,96,11,43
"Desocupada (045)",502,45,2,240,199,4,8,1,3
"Hombres (046)",436,35,2,211,174,4,6,1,3
"Mujeres (047)",66,10,,29,25,,2,,
"No PEA (048)",21919,3457,556,12263,5292,180,88,53,30
"Hombres (049)",8003,574,273,4606,2384,90,34,30,12
"Mujeres (050)",13916,2883,283,7657,2908,90,54,23,18
