"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CASMA (000)",11391,225,4595,3550,1271,483,209,57,8,,993
"Sin Nivel (001)",2144,80,988,613,150,72,47,16,4,,174
"Educación Inicial (002)",6,,2,2,1,,,,,,1
"Primaria (003)",3387,89,1740,958,231,93,44,14,2,,216
"Secundaria (004)",3505,41,1443,1177,375,105,43,11,2,,308
"Sup. no Univ. Incompleta (005)",416,1,96,166,71,28,5,3,,,46
"Sup. no Univ. Completa (006)",829,6,139,306,188,77,28,5,,,80
"Sup. Univ. Incompleta (007)",316,3,72,109,55,11,9,,,,57
"Sup. Univ. Completa (008)",788,5,115,219,200,97,33,8,,,111
,,,,,,,,,,,
"URBANA (010)",8142,125,3016,2541,1025,409,179,52,6,,789
"Sin Nivel (011)",1142,38,484,322,91,50,33,12,2,,110
"Educación Inicial (012)",5,,2,1,1,,,,,,1
"Primaria (013)",2076,48,1031,560,156,76,40,14,2,,149
"Secundaria (014)",2732,25,1102,917,303,89,36,11,2,,247
"Sup. no Univ. Incompleta (015)",376,1,87,152,65,24,4,3,,,40
"Sup. no Univ. Completa (016)",770,6,134,281,171,72,26,4,,,76
"Sup. Univ. Incompleta (017)",295,3,68,98,53,9,9,,,,55
"Sup. Univ. Completa (018)",746,4,108,210,185,89,31,8,,,111
,,,,,,,,,,,
"RURAL (020)",3249,100,1579,1009,246,74,30,5,2,,204
"Sin Nivel (021)",1002,42,504,291,59,22,14,4,2,,64
"Educación Inicial (022)",1,,,1,,,,,,,
"Primaria (023)",1311,41,709,398,75,17,4,,,,67
"Secundaria (024)",773,16,341,260,72,16,7,,,,61
"Sup. no Univ. Incompleta (025)",40,,9,14,6,4,1,,,,6
"Sup. no Univ. Completa (026)",59,,5,25,17,5,2,1,,,4
"Sup. Univ. Incompleta (027)",21,,4,11,2,2,,,,,2
"Sup. Univ. Completa (028)",42,1,7,9,15,8,2,,,,
