"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PICOTA (000)",32330,5901,2478,1090,22924
"Hombres (001)",17240,2855,1266,626,12532
"Mujeres (002)",15090,3046,1212,464,10392
"PEA (003)",14767,1008,1183,608,12001
"Hombres (004)",11246,682,756,439,9394
"Mujeres (005)",3521,326,427,169,2607
"Ocupada (006)",14442,993,1171,589,11721
"Hombres (007)",11004,672,747,427,9183
"Mujeres (008)",3438,321,424,162,2538
"Desocupada (009)",325,15,12,19,280
"Hombres (010)",242,10,9,12,211
"Mujeres (011)",83,5,3,7,69
"No PEA (012)",17563,4893,1295,482,10923
"Hombres (013)",5994,2173,510,187,3138
"Mujeres (014)",11569,2720,785,295,7785
,,,,,
"URBANA (018)",20504,3727,2243,931,13658
"Hombres (019)",10723,1785,1150,533,7286
"Mujeres (020)",9781,1942,1093,398,6372
"PEA (021)",9344,595,1082,526,7169
"Hombres (022)",6683,388,685,369,5261
"Mujeres (023)",2661,207,397,157,1908
"Ocupada (024)",9068,581,1070,509,6935
"Hombres (025)",6475,379,676,359,5081
"Mujeres (026)",2593,202,394,150,1854
"Desocupada (027)",276,14,12,17,234
"Hombres (028)",208,9,9,10,180
"Mujeres (029)",68,5,3,7,54
"No PEA (030)",11160,3132,1161,405,6489
"Hombres (031)",4040,1397,465,164,2025
"Mujeres (032)",7120,1735,696,241,4464
,,,,,
"RURAL (036)",11826,2174,235,159,9266
"Hombres (037)",6517,1070,116,93,5246
"Mujeres (038)",5309,1104,119,66,4020
"PEA (039)",5423,413,101,82,4832
"Hombres (040)",4563,294,71,70,4133
"Mujeres (041)",860,119,30,12,699
"Ocupada (042)",5374,412,101,80,4786
"Hombres (043)",4529,293,71,68,4102
"Mujeres (044)",845,119,30,12,684
"Desocupada (045)",49,1,,2,46
"Hombres (046)",34,1,,2,31
"Mujeres (047)",15,,,,15
"No PEA (048)",6403,1761,134,77,4434
"Hombres (049)",1954,776,45,23,1113
"Mujeres (050)",4449,985,89,54,3321
