"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia SECHURA",,,,,,,,,
"Viviendas particulares (001)",4198,2971,1175,38,11,,1,2,
"Ocupantes presentes (002)",20478,14637,5589,196,46,,5,5,
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",4146,2928,1167,37,11,,1,2,
"Ocupantes presentes (005)",20278,14477,5557,188,46,,5,5,
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",1,1,,,,,,,
"Ocupantes presentes (011)",2,2,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",2,2,,,,,,,
"Ocupantes presentes (014)",8,8,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",24,22,2,,,,,,
"Ocupantes presentes (017)",106,96,10,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",25,18,6,1,,,,,
"Ocupantes presentes (020)",84,54,22,8,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",4081,2859,1170,38,11,,1,2,
"Ocupantes presentes (029)",19907,14091,5564,196,46,,5,5,
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",4053,2838,1164,37,11,,1,2,
"Ocupantes presentes (032)",19813,14027,5542,188,46,,5,5,
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",1,1,,,,,,,
"Ocupantes presentes (038)",2,2,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",2,2,,,,,,,
"Ocupantes presentes (041)",8,8,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",25,18,6,1,,,,,
"Ocupantes presentes (047)",84,54,22,8,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",117,112,5,,,,,,
"Ocupantes presentes (056)",571,546,25,,,,,,
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",93,90,3,,,,,,
"Ocupantes presentes (059)",465,450,15,,,,,,
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",24,22,2,,,,,,
"Ocupantes presentes (071)",106,96,10,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
