"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia TAYACAJA (000)",1166,343,823
"Sin nivel (001)",90,25,65
"Educación inicial (002)",3,3,
"Primaria (003)",472,105,367
"Secundaria (004)",507,177,330
"Superior no univ. incompleta (005)",19,6,13
"Superior no univ. completa (006)",35,12,23
"Superior univ. incompleta (007)",10,1,9
"Superior univ. completa (008)",30,14,16
"Hombres (010)",899,250,649
"Sin nivel (011)",59,15,44
"Educación inicial (012)",3,3,
"Primaria (013)",366,77,289
"Secundaria (014)",410,137,273
"Superior no univ. incompleta (015)",17,5,12
"Superior no univ. completa (016)",18,3,15
"Superior univ. incompleta (017)",4,,4
"Superior univ. completa (018)",22,10,12
"Mujeres (020)",267,93,174
"Sin nivel (021)",31,10,21
"Primaria (023)",106,28,78
"Secundaria (024)",97,40,57
"Superior no univ. incompleta (025)",2,1,1
"Superior no univ. completa (026)",17,9,8
"Superior univ. incompleta (027)",6,1,5
"Superior univ. completa (028)",8,4,4
,,,
"AREA URBANA (030)",402,95,307
"Sin nivel (031)",21,3,18
"Educación inicial (032)",1,1,
"Primaria (033)",118,17,101
"Secundaria (034)",195,48,147
"Superior no univ. incompleta (035)",11,5,6
"Superior no univ. completa (036)",27,9,18
"Superior univ. incompleta (037)",6,1,5
"Superior univ. completa (038)",23,11,12
"Hombres (040)",283,58,225
"Sin nivel (041)",12,1,11
"Educación inicial (042)",1,1,
"Primaria (043)",82,11,71
"Secundaria (044)",148,33,115
"Superior no univ. incompleta (045)",10,4,6
"Superior no univ. completa (046)",13,1,12
"Superior univ. incompleta (047)",2,,2
"Superior univ. completa (048)",15,7,8
"Mujeres (050)",119,37,82
"Sin nivel (051)",9,2,7
"Primaria (053)",36,6,30
"Secundaria (054)",47,15,32
"Superior no univ. incompleta (055)",1,1,
"Superior no univ. completa (056)",14,8,6
"Superior univ. incompleta (057)",4,1,3
"Superior univ. completa (058)",8,4,4
,,,
"AREA RURAL (060)",764,248,516
"Sin nivel (061)",69,22,47
"Educación inicial (062)",2,2,
"Primaria (063)",354,88,266
"Secundaria (064)",312,129,183
"Superior no univ. incompleta (065)",8,1,7
"Superior no univ. completa (066)",8,3,5
"Superior univ. incompleta (067)",4,,4
"Superior univ. completa (068)",7,3,4
"Hombres (070)",616,192,424
"Sin nivel (071)",47,14,33
"Educación inicial (072)",2,2,
"Primaria (073)",284,66,218
"Secundaria (074)",262,104,158
"Superior no univ. incompleta (075)",7,1,6
"Superior no univ. completa (076)",5,2,3
"Superior univ. incompleta (077)",2,,2
"Superior univ. completa (078)",7,3,4
"Mujeres (080)",148,56,92
"Sin nivel (081)",22,8,14
"Primaria (083)",70,22,48
"Secundaria (084)",50,25,25
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",3,1,2
"Superior univ. incompleta (087)",2,,2
