"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUANCAVELICA (000)",34730,217,13547,12213,3259,999,396,149,22,,3928
"Catolica (001)",26355,155,10097,9248,2565,792,296,111,16,,3075
"Cristiana / Evangelica (002)",7944,58,3316,2801,654,189,97,37,6,,786
"Otra (003)",150,1,46,54,18,8,1,1,,,21
"Ninguna (004)",281,3,88,110,22,10,2,,,,46
,,,,,,,,,,,
"URBANA (006)",15620,101,5175,5299,1826,594,223,94,18,,2290
"Catolica (007)",13044,76,4257,4420,1574,502,182,80,14,,1939
"Cristiana / Evangelica (008)",2246,23,825,753,220,74,38,13,4,,296
"Otra (009)",133,1,40,49,17,8,1,1,,,16
"Ninguna (010)",197,1,53,77,15,10,2,,,,39
,,,,,,,,,,,
"RURAL (012)",19110,116,8372,6914,1433,405,173,55,4,,1638
"Catolica (013)",13311,79,5840,4828,991,290,114,31,2,,1136
"Cristiana / Evangelica (014)",5698,35,2491,2048,434,115,59,24,2,,490
"Otra (015)",17,,6,5,1,,,,,,5
"Ninguna (016)",84,2,35,33,7,,,,,,7
