"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHUMBIVILCAS (000)",23119,20185,1579,652,703
"Empleado (001)",1665,446,289,425,505
"Obrero (002)",1791,1126,288,189,188
"Trabajador independiente (003)",12590,11900,690,,
"Empleador o patrono (004)",135,123,7,3,2
"Trabajador familiar no remunerado (005)",6828,6480,305,35,8
"Trabajador del hogar (006)",110,110,,,
"De 06 a 14 años (008)",568,539,27,2,
"Empleado (009)",19,14,4,1,
"Obrero (010)",12,9,3,,
"Trabajador independiente (011)",58,57,1,,
"Trabajador familiar no remunerado (013)",467,447,19,1,
"Trabajador del hogar (014)",12,12,,,
"De 15 a 29 años (016)",5959,5150,442,176,191
"Empleado (017)",453,157,67,97,132
"Obrero (018)",639,397,122,64,56
"Trabajador independiente (019)",2470,2329,141,,
"Empleador o patrono (020)",37,34,2,1,
"Trabajador familiar no remunerado (021)",2293,2166,110,14,3
"Trabajador del hogar (022)",67,67,,,
"De 30 a 44 años (024)",7820,6493,619,336,372
"Empleado (025)",866,183,161,238,284
"Obrero (026)",648,374,105,84,85
"Trabajador independiente (027)",4280,4023,257,,
"Empleador o patrono (028)",42,36,4,1,1
"Trabajador familiar no remunerado (029)",1971,1864,92,13,2
"Trabajador del hogar (030)",13,13,,,
"De 45 a 64 años (032)",6539,5868,409,131,131
"Empleado (033)",319,88,56,87,88
"Obrero (034)",423,294,51,36,42
"Trabajador independiente (035)",4153,3924,229,,
"Empleador o patrono (036)",39,37,1,1,
"Trabajador familiar no remunerado (037)",1595,1515,72,7,1
"Trabajador del hogar (038)",10,10,,,
"De 65 y más años (040)",2233,2135,82,7,9
"Empleado (041)",8,4,1,2,1
"Obrero (042)",69,52,7,5,5
"Trabajador independiente (043)",1629,1567,62,,
"Empleador o patrono (044)",17,16,,,1
"Trabajador familiar no remunerado (045)",502,488,12,,2
"Trabajador del hogar (046)",8,8,,,
,,,,,
"URBANA (048)",5769,4263,564,459,483
"Empleado (049)",1319,340,201,354,424
"Obrero (050)",757,465,143,90,59
"Trabajador independiente (051)",2660,2509,151,,
"Empleador o patrono (052)",49,46,2,1,
"Trabajador familiar no remunerado (053)",928,847,67,14,
"Trabajador del hogar (054)",56,56,,,
"De 06 a 14 años (056)",184,166,16,2,
