"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MANU (000)",10166,7090,1648,1144,284
"Agric., ganadería, caza y silvicultura (001)",1501,1408,87,6,
"Pesca (002)",12,10,2,,
"Explotación de minas y canteras (003)",2795,1172,984,603,36
"Industrias manufactureras (004)",351,304,38,9,
"Suministro de electricidad, gas y agua (005)",23,1,9,11,2
"Construcción (006)",246,156,29,54,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1606,1524,65,16,1
"Venta, mant.y rep. veh.autom y motoc. (008)",310,262,36,12,
"Comercio al por mayor (009)",35,30,2,2,1
"Comercio al por menor (010)",1261,1232,27,2,
"Hoteles y restaurantes (011)",1028,807,131,87,3
"Trans., almac. y comunicaciones (012)",846,657,62,102,25
"Intermediación financiera (013)",13,11,1,1,
"Activid.inmobil., empres. y alquileres (014)",123,78,14,26,5
"Admin.pub. y defensa; p. segur soc.afil (015)",132,,,,132
"Enseñanza (016)",249,61,80,87,21
"Servicios sociales y de salud (017)",95,32,11,3,49
"Otras activ. serv.comun.soc y personales (018)",252,177,33,40,2
"Hogares privados con servicio doméstico (019)",280,280,,,
"Actividad economica no especificada (021)",614,412,102,99,1
"Hombres (022)",7279,4777,1342,944,216
"Agric., ganadería, caza y silvicultura (023)",1306,1231,71,4,
"Pesca (024)",12,10,2,,
"Explotación de minas y canteras (025)",2556,1071,911,542,32
"Industrias manufactureras (026)",302,264,31,7,
"Suministro de electricidad, gas y agua (027)",23,1,9,11,2
"Construcción (028)",239,154,28,50,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",828,761,52,14,1
"Venta, mant.y rep. veh.autom y motoc. (030)",284,237,35,12,
"Comercio al por mayor (031)",23,19,2,1,1
"Comercio al por menor (032)",521,505,15,1,
"Hoteles y restaurantes (033)",179,135,25,18,1
"Trans., almac. y comunicaciones (034)",808,623,61,99,25
"Intermediación financiera (035)",10,8,1,1,
"Activid.inmobil., empres. y alquileres (036)",106,68,12,22,4
"Admin.pub. y defensa; p. segur soc.afil (037)",109,,,,109
"Enseñanza (038)",116,19,35,53,9
"Servicios sociales y de salud (039)",49,20,4,1,24
"Otras activ. serv.comun.soc y personales (040)",153,95,24,33,1
"Hogares privados con servicio doméstico (041)",60,60,,,
"Actividad economica no especificada (043)",423,257,76,89,1
