"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia FERREÑAFE (000)",89529,4634,22924,17330,13105,11411,8560,5644,5921
"Quechua (001)",20442,1336,6298,3610,2810,2326,1687,1301,1074
"Aymara (002)",57,5,20,14,6,5,3,1,3
"Ashaninca (003)",18,,8,3,1,1,2,2,1
"Otra lengua nativa (004)",20,,4,7,3,3,,2,1
"Castellano (005)",68828,3291,16552,13663,10256,9044,6855,4330,4837
"Idioma extranjero (006)",3,,,1,1,,,1,
"Es sordomudo/a (007)",161,2,42,32,28,32,13,7,5
"Hombres (009)",44282,2390,11673,8724,6185,5321,4192,2798,2999
"Quechua (010)",9991,690,3182,1795,1357,1083,807,603,474
"Aymara (011)",32,4,10,9,3,1,1,1,3
"Ashaninca (012)",5,,1,2,,,,2,
"Otra lengua nativa (013)",7,,2,2,2,,,1,
"Castellano (014)",34173,1694,8456,6903,4809,4227,3380,2186,2518
"Idioma extranjero (015)",2,,,1,,,,1,
"Es sordomudo/a (016)",72,2,22,12,14,10,4,4,4
"Mujeres (018)",45247,2244,11251,8606,6920,6090,4368,2846,2922
"Quechua (019)",10451,646,3116,1815,1453,1243,880,698,600
"Aymara (020)",25,1,10,5,3,4,2,,
"Ashaninca (021)",13,,7,1,1,1,2,,1
"Otra lengua nativa (022)",13,,2,5,1,3,,1,1
"Castellano (023)",34655,1597,8096,6760,5447,4817,3475,2144,2319
"Idioma extranjero (024)",1,,,,1,,,,
"Es sordomudo/a (025)",89,,20,20,14,22,9,3,1
,,,,,,,,,
"URBANA (027)",48695,2050,11045,9563,7295,6693,5198,3227,3624
"Quechua (028)",2903,100,647,597,490,426,285,194,164
"Aymara (029)",18,1,2,6,3,2,2,1,1
"Ashaninca (030)",12,,4,3,,1,1,2,1
"Otra lengua nativa (031)",16,,2,6,3,2,,2,1
"Castellano (032)",45666,1947,10376,8930,6785,6249,4903,3021,3455
"Idioma extranjero (033)",2,,,1,1,,,,
"Es sordomudo/a (034)",78,2,14,20,13,13,7,7,2
"Hombres (036)",23750,1086,5588,4756,3331,3027,2520,1612,1830
"Quechua (037)",1539,59,330,324,267,214,158,105,82
"Aymara (038)",10,1,1,3,2,,1,1,1
"Ashaninca (039)",5,,1,2,,,,2,
"Otra lengua nativa (040)",5,,,2,2,,,1,
"Castellano (041)",22154,1024,5251,4415,3051,2808,2361,1499,1745
"Idioma extranjero (042)",1,,,1,,,,,
"Es sordomudo/a (043)",36,2,5,9,9,5,,4,2
"Mujeres (045)",24945,964,5457,4807,3964,3666,2678,1615,1794
"Quechua (046)",1364,41,317,273,223,212,127,89,82
"Aymara (047)",8,,1,3,1,2,1,,
"Ashaninca (048)",7,,3,1,,1,1,,1
"Otra lengua nativa (049)",11,,2,4,1,2,,1,1
"Castellano (050)",23512,923,5125,4515,3734,3441,2542,1522,1710
"Idioma extranjero (051)",1,,,,1,,,,
"Es sordomudo/a (052)",42,,9,11,4,8,7,3,
,,,,,,,,,
"RURAL (054)",40834,2584,11879,7767,5810,4718,3362,2417,2297
"Quechua (055)",17539,1236,5651,3013,2320,1900,1402,1107,910
"Aymara (056)",39,4,18,8,3,3,1,,2
"Ashaninca (057)",6,,4,,1,,1,,
"Otra lengua nativa (058)",4,,2,1,,1,,,
"Castellano (059)",23162,1344,6176,4733,3471,2795,1952,1309,1382
"Idioma extranjero (060)",1,,,,,,,1,
"Es sordomudo/a (061)",83,,28,12,15,19,6,,3
"Hombres (063)",20532,1304,6085,3968,2854,2294,1672,1186,1169
"Quechua (064)",8452,631,2852,1471,1090,869,649,498,392
"Aymara (065)",22,3,9,6,1,1,,,2
"Otra lengua nativa (067)",2,,2,,,,,,
"Castellano (068)",12019,670,3205,2488,1758,1419,1019,687,773
"Idioma extranjero (069)",1,,,,,,,1,
"Es sordomudo/a (070)",36,,17,3,5,5,4,,2
"Mujeres (072)",20302,1280,5794,3799,2956,2424,1690,1231,1128
"Quechua (073)",9087,605,2799,1542,1230,1031,753,609,518
"Aymara (074)",17,1,9,2,2,2,1,,
"Ashaninca (075)",6,,4,,1,,1,,
"Otra lengua nativa (076)",2,,,1,,1,,,
"Castellano (077)",11143,674,2971,2245,1713,1376,933,622,609
"Es sordomudo/a (079)",47,,11,9,10,14,2,,1
