"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MARISCAL CACERES (000)",745,743,2
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",101,101,
"Hospital, clinica (004)",14,14,
"Cárcel, centro de readaptación social (005)",191,191,
"Otro (008)",354,352,2
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",85,85,
