"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANCABAMBA (000)",31314,28154,1597,681,882
"Agric., ganadería, caza y silvicultura (001)",22434,21718,674,36,6
"Pesca (002)",8,2,3,2,1
"Explotación de minas y canteras (003)",15,4,3,5,3
"Industrias manufactureras (004)",1184,1125,43,8,8
"Suministro de electricidad, gas y agua (005)",37,24,7,6,
"Construcción (006)",820,474,139,98,109
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1427,1385,27,6,9
"Venta, mant.y rep. veh.autom y motoc. (008)",103,92,5,,6
"Comercio al por mayor (009)",69,63,3,,3
"Comercio al por menor (010)",1255,1230,19,6,
"Hoteles y restaurantes (011)",332,291,25,12,4
"Trans., almac. y comunicaciones (012)",614,519,51,34,10
"Intermediación financiera (013)",15,6,2,3,4
"Activid.inmobil., empres. y alquileres (014)",257,129,37,61,30
"Admin.pub. y defensa; p. segur soc.afil (015)",504,,,,504
"Enseñanza (016)",1811,909,521,348,33
"Servicios sociales y de salud (017)",267,88,17,22,140
"Otras activ. serv.comun.soc y personales (018)",236,186,18,18,14
"Hogares privados con servicio doméstico (019)",522,522,,,
"Actividad economica no especificada (021)",831,772,30,22,7
"Hombres (022)",24333,22080,1212,430,611
"Agric., ganadería, caza y silvicultura (023)",19551,18918,594,34,5
"Pesca (024)",8,2,3,2,1
"Explotación de minas y canteras (025)",12,4,2,3,3
"Industrias manufactureras (026)",485,434,36,7,8
"Suministro de electricidad, gas y agua (027)",36,23,7,6,
"Construcción (028)",799,465,135,93,106
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",852,827,18,,7
"Venta, mant.y rep. veh.autom y motoc. (030)",92,81,5,,6
"Comercio al por mayor (031)",41,38,2,,1
"Comercio al por menor (032)",719,708,11,,
"Hoteles y restaurantes (033)",99,70,15,10,4
"Trans., almac. y comunicaciones (034)",583,495,48,30,10
"Intermediación financiera (035)",8,3,1,1,3
"Activid.inmobil., empres. y alquileres (036)",158,85,24,36,13
"Admin.pub. y defensa; p. segur soc.afil (037)",359,,,,359
"Enseñanza (038)",905,409,295,181,20
"Servicios sociales y de salud (039)",129,54,9,8,58
"Otras activ. serv.comun.soc y personales (040)",120,88,13,8,11
"Hogares privados con servicio doméstico (041)",25,25,,,
