"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MOHO (000)",27342,432,8404,5491,4274,4821,3920
"Jefe o Jefa (001)",9435,,56,993,2303,3170,2913
"Esposa(o) / compañera(o) (002)",4145,,10,670,1268,1413,784
"Hijo(a) / hijastro(a) (003)",11079,312,6880,3238,529,117,3
"Yerno / nuera (004)",288,,1,205,73,8,1
"Nieto(a) (005)",1273,98,1009,157,8,1,
"Padres / suegros (006)",165,,,2,3,22,138
"Otro(a) pariente (007)",888,22,434,199,77,85,71
"Trabajador(a) del hogar (008)",8,,1,5,1,,1
"Pensionistas (009)",2,,,1,1,,
"Otro(a) no pariente (010)",59,,13,21,11,5,9
"Hombres (011)",13390,223,4307,2757,2032,2248,1823
"Jefe o Jefa (012)",6101,,31,634,1612,2089,1735
"Esposa(o) / compañera(o) (013)",172,,6,46,52,48,20
"Hijo(a) / hijastro(a) (014)",5808,165,3532,1786,271,52,2
"Yerno / nuera (015)",128,,1,78,42,6,1
"Nieto(a) (016)",639,46,504,88,1,,
"Padres / suegros (017)",43,,,2,2,5,34
"Otro(a) pariente (018)",454,12,222,105,45,44,26
"Trabajador(a) del hogar (019)",3,,1,2,,,
"Pensionistas (020)",2,,,1,1,,
"Otro(a) no pariente (021)",40,,10,15,6,4,5
"Mujeres (022)",13952,209,4097,2734,2242,2573,2097
"Jefe o Jefa (023)",3334,,25,359,691,1081,1178
"Esposa(o) / compañera(o) (024)",3973,,4,624,1216,1365,764
"Hijo(a) / hijastro(a) (025)",5271,147,3348,1452,258,65,1
"Yerno / nuera (026)",160,,,127,31,2,
"Nieto(a) (027)",634,52,505,69,7,1,
"Padres / suegros (028)",122,,,,1,17,104
"Otro(a) pariente (029)",434,10,212,94,32,41,45
"Trabajador(a) del hogar (030)",5,,,3,1,,1
"Otro(a) no pariente (032)",19,,3,6,5,1,4
,,,,,,,
"URBANA (033)",7478,108,2453,1810,1336,1153,618
"Jefe o Jefa (034)",2342,,21,378,721,752,470
"Esposa(o) / compañera(o) (035)",1133,,3,257,427,338,108
"Hijo(a) / hijastro(a) (036)",3170,80,1994,957,119,20,
"Yerno / nuera (037)",82,,,53,25,4,
"Nieto(a) (038)",326,23,253,47,3,,
"Padres / suegros (039)",36,,,1,1,7,27
"Otro(a) pariente (040)",337,5,171,94,29,30,8
"Trabajador(a) del hogar (041)",7,,1,5,1,,
"Pensionistas (042)",2,,,1,1,,
"Otro(a) no pariente (043)",43,,10,17,9,2,5
"Hombres (044)",3833,51,1256,935,652,621,318
"Jefe o Jefa (045)",1680,,11,266,535,568,300
"Esposa(o) / compañera(o) (046)",59,,1,24,15,16,3
"Hijo(a) / hijastro(a) (047)",1659,38,1018,534,60,9,
"Yerno / nuera (048)",45,,,23,18,4,
"Nieto(a) (049)",161,11,127,23,,,
"Padres / suegros (050)",12,,,1,,2,9
"Otro(a) pariente (051)",184,2,91,49,19,20,3
"Trabajador(a) del hogar (052)",3,,1,2,,,
"Pensionistas (053)",2,,,1,1,,
"Otro(a) no pariente (054)",28,,7,12,4,2,3
"Mujeres (055)",3645,57,1197,875,684,532,300
"Jefe o Jefa (056)",662,,10,112,186,184,170
"Esposa(o) / compañera(o) (057)",1074,,2,233,412,322,105
"Hijo(a) / hijastro(a) (058)",1511,42,976,423,59,11,
"Yerno / nuera (059)",37,,,30,7,,
"Nieto(a) (060)",165,12,126,24,3,,
"Padres / suegros (061)",24,,,,1,5,18
"Otro(a) pariente (062)",153,3,80,45,10,10,5
"Trabajador(a) del hogar (063)",4,,,3,1,,
"Otro(a) no pariente (065)",15,,3,5,5,,2
,,,,,,,
"RURAL (066)",19864,324,5951,3681,2938,3668,3302
"Jefe o Jefa (067)",7093,,35,615,1582,2418,2443
"Esposa(o) / compañera(o) (068)",3012,,7,413,841,1075,676
"Hijo(a) / hijastro(a) (069)",7909,232,4886,2281,410,97,3
"Yerno / nuera (070)",206,,1,152,48,4,1
"Nieto(a) (071)",947,75,756,110,5,1,
"Padres / suegros (072)",129,,,1,2,15,111
"Otro(a) pariente (073)",551,17,263,105,48,55,63
"Trabajador(a) del hogar (074)",1,,,,,,1
"Otro(a) no pariente (076)",16,,3,4,2,3,4
"Hombres (077)",9557,172,3051,1822,1380,1627,1505
"Jefe o Jefa (078)",4421,,20,368,1077,1521,1435
"Esposa(o) / compañera(o) (079)",113,,5,22,37,32,17
"Hijo(a) / hijastro(a) (080)",4149,127,2514,1252,211,43,2
"Yerno / nuera (081)",83,,1,55,24,2,1
"Nieto(a) (082)",478,35,377,65,1,,
"Padres / suegros (083)",31,,,1,2,3,25
"Otro(a) pariente (084)",270,10,131,56,26,24,23
"Otro(a) no pariente (087)",12,,3,3,2,2,2
"Mujeres (088)",10307,152,2900,1859,1558,2041,1797
"Jefe o Jefa (089)",2672,,15,247,505,897,1008
"Esposa(o) / compañera(o) (090)",2899,,2,391,804,1043,659
"Hijo(a) / hijastro(a) (091)",3760,105,2372,1029,199,54,1
"Yerno / nuera (092)",123,,,97,24,2,
"Nieto(a) (093)",469,40,379,45,4,1,
"Padres / suegros (094)",98,,,,,12,86
"Otro(a) pariente (095)",281,7,132,49,22,31,40
"Trabajador(a) del hogar (096)",1,,,,,,1
"Otro(a) no pariente (098)",4,,,1,,1,2
