"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia FERREÑAFE (000)",2111,513,1598
"Sin nivel (001)",127,19,108
"Educación inicial (002)",3,1,2
"Primaria (003)",566,117,449
"Secundaria (004)",880,240,640
"Superior no univ. incompleta (005)",133,32,101
"Superior no univ. completa (006)",212,56,156
"Superior univ. incompleta (007)",59,17,42
"Superior univ. completa (008)",131,31,100
"Hombres (010)",1610,327,1283
"Sin nivel (011)",104,12,92
"Educación inicial (012)",1,,1
"Primaria (013)",487,90,397
"Secundaria (014)",704,163,541
"Superior no univ. incompleta (015)",78,13,65
"Superior no univ. completa (016)",126,27,99
"Superior univ. incompleta (017)",40,8,32
"Superior univ. completa (018)",70,14,56
"Mujeres (020)",501,186,315
"Sin nivel (021)",23,7,16
"Educación inicial (022)",2,1,1
"Primaria (023)",79,27,52
"Secundaria (024)",176,77,99
"Superior no univ. incompleta (025)",55,19,36
"Superior no univ. completa (026)",86,29,57
"Superior univ. incompleta (027)",19,9,10
"Superior univ. completa (028)",61,17,44
,,,
"AREA URBANA (030)",1450,338,1112
"Sin nivel (031)",66,7,59
"Educación inicial (032)",3,1,2
"Primaria (033)",299,49,250
"Secundaria (034)",621,165,456
"Superior no univ. incompleta (035)",107,25,82
"Superior no univ. completa (036)",181,48,133
"Superior univ. incompleta (037)",55,16,39
"Superior univ. completa (038)",118,27,91
"Hombres (040)",1036,200,836
"Sin nivel (041)",50,5,45
"Educación inicial (042)",1,,1
"Primaria (043)",245,32,213
"Secundaria (044)",482,111,371
"Superior no univ. incompleta (045)",60,10,50
"Superior no univ. completa (046)",101,24,77
"Superior univ. incompleta (047)",36,7,29
"Superior univ. completa (048)",61,11,50
"Mujeres (050)",414,138,276
"Sin nivel (051)",16,2,14
"Educación inicial (052)",2,1,1
"Primaria (053)",54,17,37
"Secundaria (054)",139,54,85
"Superior no univ. incompleta (055)",47,15,32
"Superior no univ. completa (056)",80,24,56
"Superior univ. incompleta (057)",19,9,10
"Superior univ. completa (058)",57,16,41
,,,
"AREA RURAL (060)",661,175,486
"Sin nivel (061)",61,12,49
"Primaria (063)",267,68,199
"Secundaria (064)",259,75,184
"Superior no univ. incompleta (065)",26,7,19
"Superior no univ. completa (066)",31,8,23
"Superior univ. incompleta (067)",4,1,3
"Superior univ. completa (068)",13,4,9
"Hombres (070)",574,127,447
"Sin nivel (071)",54,7,47
"Primaria (073)",242,58,184
"Secundaria (074)",222,52,170
"Superior no univ. incompleta (075)",18,3,15
"Superior no univ. completa (076)",25,3,22
"Superior univ. incompleta (077)",4,1,3
"Superior univ. completa (078)",9,3,6
"Mujeres (080)",87,48,39
"Sin nivel (081)",7,5,2
"Primaria (083)",25,10,15
"Secundaria (084)",37,23,14
"Superior no univ. incompleta (085)",8,4,4
"Superior no univ. completa (086)",6,5,1
"Superior univ. completa (088)",4,1,3
