"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PICOTA (000)",12582,12270,3000,1825,1769,1478,1872,1104,668,554,312,37034
"De 12 a 14 años (001)",1305,1293,1283,10,,,,,,,12,10
"De 15 a 19 años (002)",1815,1748,1235,429,76,6,2,,,,67,607
"De 20 a 24 años (003)",1484,1397,254,647,350,113,32,1,,,87,1828
"De 25 a 29 años (004)",1460,1409,85,351,511,299,150,12,1,,51,2986
"De 30 a 34 años (005)",1228,1200,36,169,346,304,277,57,9,2,28,3429
"De 35 a 39 años (006)",1192,1176,32,82,197,301,366,150,39,9,16,4350
"De 40 a 44 años (007)",1060,1050,18,43,141,198,349,193,81,27,10,4656
"De 45 a 49 años (008)",737,731,14,22,71,110,219,163,98,34,6,3685
"De 50 y más años (009)",2301,2266,43,72,77,147,477,528,440,482,35,15483
"PEA (010)",3495,3378,554,550,585,504,595,309,174,107,117,10472
"De 12 a 14 años (011)",90,88,87,1,,,,,,,2,1
"De 15 a 19 años (012)",377,359,258,85,14,1,1,,,,18,120
"De 20 a 24 años (013)",405,366,107,154,82,16,7,,,,39,395
"De 25 a 29 años (014)",441,414,42,124,132,84,28,4,,,27,782
"De 30 a 34 años (015)",433,422,20,86,134,92,72,15,2,1,11,1062
"De 35 a 39 años (016)",465,454,16,41,92,128,123,43,9,2,11,1511
"De 40 a 44 años (017)",412,410,10,24,70,80,133,64,27,2,2,1638
"De 45 a 49 años (018)",285,283,8,9,37,51,86,56,28,8,2,1285
"De 50 y más años (019)",587,582,6,26,24,52,145,127,108,94,5,3678
"Ocupada (020)",3412,3299,517,540,578,495,586,304,173,106,113,10331
"De 12 a 14 años (021)",87,85,84,1,,,,,,,2,1
"De 15 a 19 años (022)",352,334,235,83,14,1,1,,,,18,118
