"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",4072,13822,12224,,163,88.4,1.2
"De 12 a 14 años (001)",372,3,3,,,100,
"De 15 a 19 años (002)",400,68,66,18,97.1,26.5,
"De 20 a 24 años (003)",351,353,346,45,98,12.7,
"De 25 a 29 años (004)",346,607,573,36,94.4,5.9,
"De 30 a 34 años (005)",309,765,734,24,95.9,3.1,
"De 35 a 39 años (006)",323,1088,1040,22,95.6,2,
"De 40 a 44 años (007)",327,1390,1323,15,95.2,1.1,
"De 45 a 49 años (008)",255,1354,1234,3,91.1,0.2,
"De 50 y más años (009)",1389,8194,6905,,84.3,,
"PEA (010)",1280,4182,3809,53,91.1,1.3,
"De 12 a 14 años (011)",13,,,,,,
"De 15 a 19 años (012)",57,17,17,3,100,17.6,
"De 20 a 24 años (013)",140,121,119,8,98.3,6.6,
"De 25 a 29 años (014)",168,276,260,16,94.2,5.8,
"De 30 a 34 años (015)",130,271,260,9,95.9,3.3,
"De 35 a 39 años (016)",152,428,414,8,96.7,1.9,
"De 40 a 44 años (017)",165,628,594,9,94.6,1.4,
"De 45 a 49 años (018)",114,522,487,,93.3,,
"De 50 y más años (019)",341,1919,1658,,86.4,,
"Ocupada (020)",1247,4122,3753,52,91,1.3,
"De 12 a 14 años (021)",13,,,,,,
"De 15 a 19 años (022)",53,16,16,3,100,18.8,
"De 20 a 24 años (023)",131,108,106,7,98.1,6.5,
"De 25 a 29 años (024)",161,269,253,16,94.1,5.9,
"De 30 a 34 años (025)",124,263,253,9,96.2,3.4,
"De 35 a 39 años (026)",149,418,405,8,96.9,1.9,
"De 40 a 44 años (027)",165,628,594,9,94.6,1.4,
"De 45 a 49 años (028)",112,508,473,,93.1,,
"De 50 y más años (029)",339,1912,1653,,86.5,,
"Desocupada (030)",33,60,56,1,93.3,1.7,
"De 15 a 19 años (032)",4,1,1,,100,,
"De 20 a 24 años (033)",9,13,13,1,100,7.7,
"De 25 a 29 años (034)",7,7,7,,100,,
"De 30 a 34 años (035)",6,8,7,,87.5,,
"De 35 a 39 años (036)",3,10,9,,90,,
"De 45 a 49 años (038)",2,14,14,,100,,
"De 50 y más años (039)",2,7,5,,71.4,,
"No PEA (040)",2792,9640,8415,110,87.3,1.1,
