"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CORONEL PORTILLO (000)",285990,68947,95605,64032,43906,13500
"Hombres (001)",144619,35122,47128,31821,23388,7160
"Mujeres (002)",141371,33825,48477,32211,20518,6340
"PEA (003)",125844,3040,45067,43901,28930,4906
"Hombres (004)",83190,2096,30066,27822,19524,3682
"Mujeres (005)",42654,944,15001,16079,9406,1224
"Ocupada (006)",121102,2884,42548,42638,28282,4750
"Hombres (007)",80101,1993,28538,27001,19019,3550
"Mujeres (008)",41001,891,14010,15637,9263,1200
"Desocupada (009)",4742,156,2519,1263,648,156
"Hombres (010)",3089,103,1528,821,505,132
"Mujeres (011)",1653,53,991,442,143,24
"No PEA (012)",160146,65907,50538,20131,14976,8594
"Hombres (013)",61429,33026,17062,3999,3864,3478
"Mujeres (014)",98717,32881,33476,16132,11112,5116
,,,,,,
"URBANA (018)",243113,56963,81787,55281,37606,11476
"Hombres (019)",120706,28850,39652,26780,19558,5866
"Mujeres (020)",122407,28113,42135,28501,18048,5610
"PEA (021)",107439,2423,38407,38226,24679,3704
"Hombres (022)",69375,1671,25129,23609,16262,2704
"Mujeres (023)",38064,752,13278,14617,8417,1000
"Ocupada (024)",103090,2296,36112,37036,24080,3566
"Hombres (025)",66575,1583,23760,22845,15798,2589
"Mujeres (026)",36515,713,12352,14191,8282,977
"Desocupada (027)",4349,127,2295,1190,599,138
"Hombres (028)",2800,88,1369,764,464,115
"Mujeres (029)",1549,39,926,426,135,23
"No PEA (030)",135674,54540,43380,17055,12927,7772
"Hombres (031)",51331,27179,14523,3171,3296,3162
"Mujeres (032)",84343,27361,28857,13884,9631,4610
,,,,,,
"RURAL (036)",42877,11984,13818,8751,6300,2024
"Hombres (037)",23913,6272,7476,5041,3830,1294
"Mujeres (038)",18964,5712,6342,3710,2470,730
"PEA (039)",18405,617,6660,5675,4251,1202
"Hombres (040)",13815,425,4937,4213,3262,978
"Mujeres (041)",4590,192,1723,1462,989,224
"Ocupada (042)",18012,588,6436,5602,4202,1184
"Hombres (043)",13526,410,4778,4156,3221,961
"Mujeres (044)",4486,178,1658,1446,981,223
"Desocupada (045)",393,29,224,73,49,18
"Hombres (046)",289,15,159,57,41,17
"Mujeres (047)",104,14,65,16,8,1
"No PEA (048)",24472,11367,7158,3076,2049,822
"Hombres (049)",10098,5847,2539,828,568,316
"Mujeres (050)",14374,5520,4619,2248,1481,506
