"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia COTABAMBAS (000)",10797,151,4620,3293,919,287,124,67,19,,1317
"Sin Nivel (001)",5531,76,2266,1758,492,162,82,48,18,,629
"Educación Inicial (002)",44,3,27,7,1,,,,,,6
"Primaria (003)",3414,55,1728,966,201,59,29,16,1,,359
"Secundaria (004)",1200,16,507,380,76,19,10,2,,,190
"Sup. no Univ. Incompleta (005)",139,,28,60,18,4,,,,,29
"Sup. no Univ. Completa (006)",272,1,36,80,81,20,2,,,,52
"Sup. Univ. Incompleta (007)",34,,5,8,9,3,,,,,9
"Sup. Univ. Completa (008)",163,,23,34,41,20,1,1,,,43
,,,,,,,,,,,
"URBANA (010)",2972,46,1129,854,324,108,55,19,2,,435
"Sin Nivel (011)",824,15,305,232,79,38,30,7,2,,116
"Educación Inicial (012)",8,,4,3,,,,,,,1
"Primaria (013)",983,21,474,260,72,22,15,9,,,110
"Secundaria (014)",619,9,268,195,40,8,7,2,,,90
"Sup. no Univ. Incompleta (015)",112,,21,54,13,2,,,,,22
"Sup. no Univ. Completa (016)",246,1,33,74,75,16,2,,,,45
"Sup. Univ. Incompleta (017)",34,,5,8,9,3,,,,,9
"Sup. Univ. Completa (018)",146,,19,28,36,19,1,1,,,42
,,,,,,,,,,,
"RURAL (020)",7825,105,3491,2439,595,179,69,48,17,,882
"Sin Nivel (021)",4707,61,1961,1526,413,124,52,41,16,,513
"Educación Inicial (022)",36,3,23,4,1,,,,,,5
"Primaria (023)",2431,34,1254,706,129,37,14,7,1,,249
"Secundaria (024)",581,7,239,185,36,11,3,,,,100
"Sup. no Univ. Incompleta (025)",27,,7,6,5,2,,,,,7
"Sup. no Univ. Completa (026)",26,,3,6,6,4,,,,,7
"Sup. Univ. Completa (028)",17,,4,6,5,1,,,,,1
