"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUAYTARA (000)",20428,3271,583,9564,5478,317,556,174,485
"Jefe o Jefa (001)",6854,960,6,3180,1971,129,258,70,280
"Esposa(o)/ compa¤era(o) (002)",3271,650,7,1631,757,50,93,15,68
"Hijo(a)/ hijastro(a) (003)",7967,1177,460,3811,2150,94,124,66,85
"Yerno/ nuera (004)",185,6,,55,91,6,16,1,10
"Nieto(a) (005)",796,216,79,349,138,5,3,4,2
"Padres/ suegros (006)",146,89,,52,2,,,1,2
"Otro(a) pariente (007)",935,141,30,402,280,23,29,11,19
"Trabajador(a) del hogar (008)",18,5,,6,6,,1,,
"Pensionista (009)",10,,,3,1,1,3,1,1
"Otro(a) no pariente (010)",246,27,1,75,82,9,29,5,18
"Hombres (012)",10174,1124,291,4675,3275,170,254,109,276
"Jefe o Jefa (013)",4455,310,2,2129,1529,80,148,60,197
"Esposa(o)/ compa¤era(o) (014)",341,24,2,157,120,13,12,2,11
"Hijo(a)/ hijastro(a) (015)",4154,600,230,1900,1256,50,47,35,36
"Yerno/ nuera (016)",97,2,,24,51,1,9,1,9
"Nieto(a) (017)",426,114,40,186,80,3,1,2,
"Padres/ suegros (018)",32,9,,20,1,,,1,1
"Otro(a) pariente (019)",494,49,17,211,168,14,19,5,11
"Trabajador(a) del hogar (020)",4,1,,1,2,,,,
"Pensionista (021)",5,,,1,,1,2,1,
"Otro(a) no pariente (022)",166,15,,46,68,8,16,2,11
"Mujeres (024)",10254,2147,292,4889,2203,147,302,65,209
"Jefe o Jefa (025)",2399,650,4,1051,442,49,110,10,83
"Esposa(o)/ compa¤era(o) (026)",2930,626,5,1474,637,37,81,13,57
"Hijo(a)/ hijastro(a) (027)",3813,577,230,1911,894,44,77,31,49
"Yerno/ nuera (028)",88,4,,31,40,5,7,,1
"Nieto(a) (029)",370,102,39,163,58,2,2,2,2
"Padres/ suegros (030)",114,80,,32,1,,,,1
"Otro(a) pariente (031)",441,92,13,191,112,9,10,6,8
"Trabajador(a) del hogar (032)",14,4,,5,4,,1,,
"Pensionista (033)",5,,,2,1,,1,,1
"Otro(a) no pariente (034)",80,12,1,29,14,1,13,3,7
,,,,,,,,,
"URBANA (036)",6093,643,159,2352,2087,164,320,80,288
"Jefe o Jefa (037)",2010,138,,757,723,59,141,30,162
"Esposa(o)/ compa¤era(o) (038)",916,79,1,393,302,31,58,9,43
"Hijo(a)/ hijastro(a) (039)",2383,301,126,960,801,46,70,31,48
"Yerno/ nuera (040)",54,1,,7,25,4,9,1,7
"Nieto(a) (041)",192,52,19,67,48,4,1,1,
"Padres/ suegros (042)",55,34,,18,1,,,,2
"Otro(a) pariente (043)",374,36,13,129,147,15,17,5,12
"Trabajador(a) del hogar (044)",8,1,,2,4,,1,,
"Pensionista (045)",2,,,,,,1,,1
"Otro(a) no pariente (046)",99,1,,19,36,5,22,3,13
"Hombres (048)",3064,264,80,1069,1210,88,142,49,162
