"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia SAN MARTIN (000)",151340,6547,31436,34210,25323,22231,15211,8400,7982
"Quechua (001)",644,,13,40,64,111,104,104,208
"Aymara (002)",35,1,6,5,9,2,7,3,2
"Ashaninca (003)",14,,3,2,3,1,3,,2
"Otra lengua nativa (004)",174,11,56,42,27,26,5,1,6
"Castellano (005)",150226,6530,31315,34057,25168,22048,15075,8276,7757
"Idioma extranjero (006)",65,,5,6,21,12,8,9,4
"Es sordomudo/a (007)",182,5,38,58,31,31,9,7,3
"Hombres (009)",77078,3374,15983,17287,12798,11300,8133,4438,3765
"Quechua (010)",324,,3,20,37,67,54,54,89
"Aymara (011)",27,1,4,5,6,1,6,2,2
"Ashaninca (012)",4,,,1,1,,,,2
"Otra lengua nativa (013)",88,5,26,21,17,13,1,1,4
"Castellano (014)",76503,3365,15925,17204,12711,11197,8064,4374,3663
"Idioma extranjero (015)",38,,2,4,12,8,4,5,3
"Es sordomudo/a (016)",94,3,23,32,14,14,4,2,2
"Mujeres (018)",74262,3173,15453,16923,12525,10931,7078,3962,4217
"Quechua (019)",320,,10,20,27,44,50,50,119
"Aymara (020)",8,,2,,3,1,1,1,
"Ashaninca (021)",10,,3,1,2,1,3,,
"Otra lengua nativa (022)",86,6,30,21,10,13,4,,2
"Castellano (023)",73723,3165,15390,16853,12457,10851,7011,3902,4094
"Idioma extranjero (024)",27,,3,2,9,4,4,4,1
"Es sordomudo/a (025)",88,2,15,26,17,17,5,5,1
,,,,,,,,,
"URBANA (027)",137675,5682,27836,31451,23128,20565,14058,7644,7311
"Quechua (028)",535,,12,32,52,104,85,80,170
"Aymara (029)",34,1,6,5,9,2,6,3,2
"Ashaninca (030)",13,,3,2,3,1,2,,2
"Otra lengua nativa (031)",69,3,9,28,7,15,2,,5
"Castellano (032)",136800,5673,27766,31327,23008,20403,13950,7547,7126
"Idioma extranjero (033)",65,,5,6,21,12,8,9,4
"Es sordomudo/a (034)",159,5,35,51,28,28,5,5,2
"Hombres (036)",69386,2943,14108,15716,11518,10309,7411,3992,3389
"Quechua (037)",270,,3,17,32,63,43,42,70
"Aymara (038)",27,1,4,5,6,1,6,2,2
"Ashaninca (039)",4,,,1,1,,,,2
"Otra lengua nativa (040)",37,2,2,16,6,8,,,3
"Castellano (041)",68931,2937,14076,15647,11449,10216,7356,3942,3308
"Idioma extranjero (042)",38,,2,4,12,8,4,5,3
"Es sordomudo/a (043)",79,3,21,26,12,13,2,1,1
"Mujeres (045)",68289,2739,13728,15735,11610,10256,6647,3652,3922
"Quechua (046)",265,,9,15,20,41,42,38,100
"Aymara (047)",7,,2,,3,1,,1,
"Ashaninca (048)",9,,3,1,2,1,2,,
"Otra lengua nativa (049)",32,1,7,12,1,7,2,,2
"Castellano (050)",67869,2736,13690,15680,11559,10187,6594,3605,3818
"Idioma extranjero (051)",27,,3,2,9,4,4,4,1
"Es sordomudo/a (052)",80,2,14,25,16,15,3,4,1
,,,,,,,,,
"RURAL (054)",13665,865,3600,2759,2195,1666,1153,756,671
"Quechua (055)",109,,1,8,12,7,19,24,38
"Aymara (056)",1,,,,,,1,,
"Ashaninca (057)",1,,,,,,1,,
"Otra lengua nativa (058)",105,8,47,14,20,11,3,1,1
"Castellano (059)",13426,857,3549,2730,2160,1645,1125,729,631
"Es sordomudo/a (061)",23,,3,7,3,3,4,2,1
"Hombres (063)",7692,431,1875,1571,1280,991,722,446,376
"Quechua (064)",54,,,3,5,4,11,12,19
"Otra lengua nativa (067)",51,3,24,5,11,5,1,1,1
"Castellano (068)",7572,428,1849,1557,1262,981,708,432,355
"Es sordomudo/a (070)",15,,2,6,2,1,2,1,1
"Mujeres (072)",5973,434,1725,1188,915,675,431,310,295
"Quechua (073)",55,,1,5,7,3,8,12,19
"Aymara (074)",1,,,,,,1,,
"Ashaninca (075)",1,,,,,,1,,
"Otra lengua nativa (076)",54,5,23,9,9,6,2,,
"Castellano (077)",5854,429,1700,1173,898,664,417,297,276
"Es sordomudo/a (079)",8,,1,1,1,2,2,1,
