"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SECHURA (000)",56923,14265,6226,1954,34623
"Sin Nivel (001)",6253,2488,705,126,2948
"Educación Inicial (002)",2320,1081,332,44,870
"Primaria (003)",27291,6609,2583,685,17460
"Secundaria (004)",14528,3141,1472,537,9416
"Sup. no Univ. Incompleta (005)",2025,336,188,127,1381
"Sup. no Univ. Completa (006)",2412,386,481,168,1391
"Sup. Univ. Incompleta (007)",1075,125,151,162,643
"Sup. Univ. Completa (008)",1019,99,314,105,514
"Hombres (010)",28521,6186,3204,1276,17951
"Sin Nivel (011)",2650,1156,319,57,1123
"Educación Inicial (012)",1153,529,175,17,436
"Primaria (013)",13039,2824,1294,410,8544
"Secundaria (014)",8354,1347,834,389,5811
"Sup. no Univ. Incompleta (015)",1001,115,102,104,687
"Sup. no Univ. Completa (016)",1122,111,221,114,682
"Sup. Univ. Incompleta (017)",615,57,83,114,366
"Sup. Univ. Completa (018)",587,47,176,71,302
"Mujeres (020)",28402,8079,3022,678,16672
"Sin Nivel (021)",3603,1332,386,69,1825
"Educación Inicial (022)",1167,552,157,27,434
"Primaria (023)",14252,3785,1289,275,8916
"Secundaria (024)",6174,1794,638,148,3605
"Sup. no Univ. Incompleta (025)",1024,221,86,23,694
"Sup. no Univ. Completa (026)",1290,275,260,54,709
"Sup. Univ. Incompleta (027)",460,68,68,48,277
"Sup. Univ. Completa (028)",432,52,138,34,212
,,,,,
"URBANA (030)",53414,12989,6047,1883,32637
"Sin Nivel (031)",5770,2248,669,120,2747
"Educación Inicial (032)",2203,992,326,42,849
"Primaria (033)",25189,5907,2488,645,16195
"Secundaria (034)",13911,2949,1447,526,9025
"Sup. no Univ. Incompleta (035)",1953,313,186,124,1337
"Sup. no Univ. Completa (036)",2330,362,472,164,1346
"Sup. Univ. Incompleta (037)",1055,120,149,158,634
"Sup. Univ. Completa (038)",1003,98,310,104,504
"Hombres (040)",26675,5575,3121,1232,16840
"Sin Nivel (041)",2440,1047,302,54,1042
"Educación Inicial (042)",1102,484,174,16,431
"Primaria (043)",11922,2480,1250,388,7837
"Secundaria (044)",7985,1251,819,381,5559
"Sup. no Univ. Incompleta (045)",966,112,100,102,659
"Sup. no Univ. Completa (046)",1080,102,219,110,655
"Sup. Univ. Incompleta (047)",601,53,82,111,360
"Sup. Univ. Completa (048)",579,46,175,70,297
"Mujeres (050)",26739,7414,2926,651,15797
"Sin Nivel (051)",3330,1201,367,66,1705
"Educación Inicial (052)",1101,508,152,26,418
"Primaria (053)",13267,3427,1238,257,8358
"Secundaria (054)",5926,1698,628,145,3466
"Sup. no Univ. Incompleta (055)",987,201,86,22,678
"Sup. no Univ. Completa (056)",1250,260,253,54,691
"Sup. Univ. Incompleta (057)",454,67,67,47,274
"Sup. Univ. Completa (058)",424,52,135,34,207
,,,,,
"RURAL (060)",3509,1276,179,71,1986
"Sin Nivel (061)",483,240,36,6,201
"Educación Inicial (062)",117,89,6,2,21
"Primaria (063)",2102,702,95,40,1265
"Secundaria (064)",617,192,25,11,391
"Sup. no Univ. Incompleta (065)",72,23,2,3,44
"Sup. no Univ. Completa (066)",82,24,9,4,45
"Sup. Univ. Incompleta (067)",20,5,2,4,9
"Sup. Univ. Completa (068)",16,1,4,1,10
"Hombres (070)",1846,611,83,44,1111
"Sin Nivel (071)",210,109,17,3,81
"Educación Inicial (072)",51,45,1,1,5
"Primaria (073)",1117,344,44,22,707
"Secundaria (074)",369,96,15,8,252
"Sup. no Univ. Incompleta (075)",35,3,2,2,28
"Sup. no Univ. Completa (076)",42,9,2,4,27
"Sup. Univ. Incompleta (077)",14,4,1,3,6
"Sup. Univ. Completa (078)",8,1,1,1,5
"Mujeres (080)",1663,665,96,27,875
"Sin Nivel (081)",273,131,19,3,120
"Educación Inicial (082)",66,44,5,1,16
"Primaria (083)",985,358,51,18,558
"Secundaria (084)",248,96,10,3,139
"Sup. no Univ. Incompleta (085)",37,20,,1,16
"Sup. no Univ. Completa (086)",40,15,7,,18
"Sup. Univ. Incompleta (087)",6,1,1,1,3
"Sup. Univ. Completa (088)",8,,3,,5
