"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MOHO (000)",11279,10431,450,112,286
"Hombres (001)",6234,5616,307,92,219
"Mujeres (002)",5045,4815,143,20,67
"De 06 a 14 años (003)",275,238,36,1,
"Hombres (004)",131,113,18,,
"Mujeres (005)",144,125,18,1,
"De 15 a 29 años (006)",2461,2244,127,13,77
"Hombres (007)",1297,1154,81,12,50
"Mujeres (008)",1164,1090,46,1,27
"De 30 a 44 años (009)",3066,2752,125,49,140
"Hombres (010)",1712,1477,91,37,107
"Mujeres (011)",1354,1275,34,12,33
"De 45 a 64 años (012)",3426,3183,138,48,57
"Hombres (013)",1929,1735,101,42,51
"Mujeres (014)",1497,1448,37,6,6
"De 65 y más años (015)",2051,2014,24,1,12
"Hombres (016)",1165,1137,16,1,11
"Mujeres (017)",886,877,8,,1
,,,,,
"URBANA (018)",2899,2447,184,73,195
"Hombres (019)",1674,1343,129,58,144
"Mujeres (020)",1225,1104,55,15,51
"De 06 a 14 años (021)",95,85,10,,
"Hombres (022)",52,48,4,,
"Mujeres (023)",43,37,6,,
"De 15 a 29 años (024)",728,618,56,5,49
"Hombres (025)",387,320,35,5,27
"Mujeres (026)",341,298,21,,22
"De 30 a 44 años (027)",951,759,55,34,103
"Hombres (028)",539,394,43,24,78
"Mujeres (029)",412,365,12,10,25
"De 45 a 64 años (030)",816,690,54,33,39
"Hombres (031)",506,402,41,28,35
"Mujeres (032)",310,288,13,5,4
"De 65 y más años (033)",309,295,9,1,4
"Hombres (034)",190,179,6,1,4
"Mujeres (035)",119,116,3,,
,,,,,
"RURAL (036)",8380,7984,266,39,91
"Hombres (037)",4560,4273,178,34,75
"Mujeres (038)",3820,3711,88,5,16
"De 06 a 14 años (039)",180,153,26,1,
"Hombres (040)",79,65,14,,
"Mujeres (041)",101,88,12,1,
"De 15 a 29 años (042)",1733,1626,71,8,28
"Hombres (043)",910,834,46,7,23
"Mujeres (044)",823,792,25,1,5
"De 30 a 44 años (045)",2115,1993,70,15,37
"Hombres (046)",1173,1083,48,13,29
"Mujeres (047)",942,910,22,2,8
"De 45 a 64 años (048)",2610,2493,84,15,18
"Hombres (049)",1423,1333,60,14,16
"Mujeres (050)",1187,1160,24,1,2
"De 65 y más años (051)",1742,1719,15,,8
"Hombres (052)",975,958,10,,7
"Mujeres (053)",767,761,5,,1
