"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ILO (000)",63780,1043,15936,16749,15232,11269,3551
"Hombres (001)",32332,524,8149,8323,7529,5835,1972
"Mujeres (002)",31448,519,7787,8426,7703,5434,1579
"Viviendas particulares (003)",61077,1035,15739,15670,14325,10821,3487
"Hombres (004)",30354,520,8055,7547,6816,5483,1933
"Mujeres (005)",30723,515,7684,8123,7509,5338,1554
"Viviendas colectivas (006)",1931,8,177,892,532,263,59
"Hombres (007)",1368,4,85,642,398,202,37
"Mujeres (008)",563,4,92,250,134,61,22
"Otro tipo (009)",772,,20,187,375,185,5
"Hombres (010)",610,,9,134,315,150,2
"Mujeres (011)",162,,11,53,60,35,3
,,,,,,,
"URBANA (012)",63068,1042,15884,16364,15100,11160,3518
"Hombres (013)",31752,523,8117,7982,7415,5760,1955
"Mujeres (014)",31316,519,7767,8382,7685,5400,1563
"Viviendas particulares (015)",60848,1034,15694,15634,14281,10751,3454
"Hombres (016)",30226,519,8029,7529,6788,5445,1916
"Mujeres (017)",30622,515,7665,8105,7493,5306,1538
"Viviendas colectivas (018)",1451,8,170,544,445,225,59
"Hombres (019)",919,4,79,320,313,166,37
"Mujeres (020)",532,4,91,224,132,59,22
"Otro tipo (021)",769,,20,186,374,184,5
"Hombres (022)",607,,9,133,314,149,2
"Mujeres (023)",162,,11,53,60,35,3
,,,,,,,
"RURAL (024)",712,1,52,385,132,109,33
"Hombres (025)",580,1,32,341,114,75,17
"Mujeres (026)",132,,20,44,18,34,16
"Viviendas particulares (027)",229,1,45,36,44,70,33
"Hombres (028)",128,1,26,18,28,38,17
"Mujeres (029)",101,,19,18,16,32,16
"Viviendas colectivas (030)",480,,7,348,87,38,
"Hombres (031)",449,,6,322,85,36,
"Mujeres (032)",31,,1,26,2,2,
"Otro tipo (033)",3,,,1,1,1,
"Hombres (034)",3,,,1,1,1,
