"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LA CONVENCION (000)",63455,52294,4544,2302,4315
"Empleado (001)",7337,2571,1267,1221,2278
"Obrero (002)",9430,5249,1236,951,1994
"Trabajador independiente (003)",34571,33191,1380,,
"Empleador o patrono (004)",1283,1136,94,38,15
"Trabajador familiar no remunerado (005)",9883,9196,567,92,28
"Trabajador del hogar (006)",951,951,,,
"De 06 a 14 años (008)",1173,1048,92,26,7
"Empleado (009)",28,19,7,2,
"Obrero (010)",110,87,11,8,4
"Trabajador independiente (011)",143,132,11,,
"Empleador o patrono (012)",7,7,,,
"Trabajador familiar no remunerado (013)",826,744,63,16,3
"Trabajador del hogar (014)",59,59,,,
"De 15 a 29 años (016)",21128,17170,1787,771,1400
"Empleado (017)",2508,1199,385,297,627
"Obrero (018)",4248,2439,620,428,761
"Trabajador independiente (019)",8691,8239,452,,
"Empleador o patrono (020)",346,305,31,7,3
"Trabajador familiar no remunerado (021)",4831,4484,299,39,9
"Trabajador del hogar (022)",504,504,,,
"De 30 a 44 años (024)",21838,17220,1667,996,1955
"Empleado (025)",3318,995,606,609,1108
"Obrero (026)",3119,1552,391,348,828
"Trabajador independiente (027)",12359,11854,505,,
"Empleador o patrono (028)",472,404,42,18,8
"Trabajador familiar no remunerado (029)",2346,2191,123,21,11
"Trabajador del hogar (030)",224,224,,,
"De 45 a 64 años (032)",15138,12845,902,493,898
"Empleado (033)",1417,331,257,309,520
"Obrero (034)",1687,960,198,159,370
"Trabajador independiente (035)",10077,9719,358,,
"Empleador o patrono (036)",359,327,17,11,4
"Trabajador familiar no remunerado (037)",1481,1391,72,14,4
"Trabajador del hogar (038)",117,117,,,
"De 65 y más años (040)",4178,4011,96,16,55
"Empleado (041)",66,27,12,4,23
"Obrero (042)",266,211,16,8,31
"Trabajador independiente (043)",3301,3247,54,,
"Empleador o patrono (044)",99,93,4,2,
"Trabajador familiar no remunerado (045)",399,386,10,2,1
"Trabajador del hogar (046)",47,47,,,
,,,,,
"URBANA (048)",19578,14107,1858,1450,2163
"Empleado (049)",5208,1720,812,966,1710
"Obrero (050)",2759,1425,466,436,432
"Trabajador independiente (051)",9126,8705,421,,
"Empleador o patrono (052)",535,449,54,21,11
