"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia CAJATAMBO (000)",2911,17,348,46,82,208,967,162,90,816,12,73,90
"Agric., ganadería, caza y silvicultura (001)",1587,,1,1,,,967,,1,617,,,
"Pesca (002)",1,,,,,,,,,1,,,
"Explotación de minas y canteras (003)",142,2,5,10,9,3,,85,12,16,,,
"Industrias manufactureras (004)",65,,,,,,,60,5,,,,
"Suministro de electricidad, gas y agua (005)",6,,2,1,,,,2,1,,,,
"Construcción (006)",75,,1,2,,,,6,38,28,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",187,,1,4,1,152,,6,2,21,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",9,,,2,,2,,3,2,,,,
"Comercio al por mayor (009)",9,,,,,9,,,,,,,
"Comercio al por menor (010)",169,,1,2,1,141,,3,,21,,,
"Hoteles y restaurantes (011)",60,,1,,,40,,,,19,,,
"Trans., almac. y comunicaciones (012)",29,,,1,,1,,,17,10,,,
"Intermediación financiera (013)",3,,1,1,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",39,,5,7,4,9,,1,1,12,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",119,12,13,5,50,,,2,8,17,12,,
"Enseñanza (016)",314,3,302,,9,,,,,,,,
"Servicios sociales y de salud (017)",26,,8,6,5,3,,,4,,,,
"Otras activ. serv.comun.soc y personales (018)",41,,8,7,3,,,,1,22,,,
"Hogares privados con servicio doméstico (019)",53,,,,,,,,,53,,,
"Actividad economica no especificada (021)",74,,,1,,,,,,,,73,
"Desocupado (022)",90,,,,,,,,,,,,90
"Hombres (023)",2142,14,186,36,45,79,853,155,90,556,11,36,81
"Agric., ganadería, caza y silvicultura (024)",1319,,1,1,,,853,,1,463,,,
"Pesca (025)",1,,,,,,,,,1,,,
"Explotación de minas y canteras (026)",138,2,5,9,9,3,,85,12,13,,,
"Industrias manufactureras (027)",58,,,,,,,53,5,,,,
"Suministro de electricidad, gas y agua (028)",6,,2,1,,,,2,1,,,,
"Construcción (029)",75,,1,2,,,,6,38,28,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",87,,,4,,64,,6,2,11,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",9,,,2,,2,,3,2,,,,
"Comercio al por mayor (032)",7,,,,,7,,,,,,,
"Comercio al por menor (033)",71,,,2,,55,,3,,11,,,
"Hoteles y restaurantes (034)",4,,1,,,3,,,,,,,
"Trans., almac. y comunicaciones (035)",27,,,1,,,,,17,9,,,
"Intermediación financiera (036)",2,,1,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (037)",31,,4,6,1,8,,1,1,10,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",84,9,7,4,28,,,2,8,15,11,,
"Enseñanza (039)",161,3,154,,4,,,,,,,,
"Servicios sociales y de salud (040)",9,,2,2,,1,,,4,,,,
"Otras activ. serv.comun.soc y personales (041)",19,,8,5,2,,,,1,3,,,
"Hogares privados con servicio doméstico (042)",3,,,,,,,,,3,,,
"Actividad economica no especificada (044)",37,,,1,,,,,,,,36,
"Desocupado (045)",81,,,,,,,,,,,,81
"Mujeres (046)",769,3,162,10,37,129,114,7,,260,1,37,9
"Agric., ganadería, caza y silvicultura (047)",268,,,,,,114,,,154,,,
"Explotación de minas y canteras (049)",4,,,1,,,,,,3,,,
"Industrias manufactureras (050)",7,,,,,,,7,,,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",100,,1,,1,88,,,,10,,,
"Comercio al por mayor (055)",2,,,,,2,,,,,,,
"Comercio al por menor (056)",98,,1,,1,86,,,,10,,,
"Hoteles y restaurantes (057)",56,,,,,37,,,,19,,,
"Trans., almac. y comunicaciones (058)",2,,,,,1,,,,1,,,
"Intermediación financiera (059)",1,,,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",8,,1,1,3,1,,,,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",35,3,6,1,22,,,,,2,1,,
"Enseñanza (062)",153,,148,,5,,,,,,,,
"Servicios sociales y de salud (063)",17,,6,4,5,2,,,,,,,
"Otras activ. serv.comun.soc y personales (064)",22,,,2,1,,,,,19,,,
"Hogares privados con servicio doméstico (065)",50,,,,,,,,,50,,,
"Actividad economica no especificada (067)",37,,,,,,,,,,,37,
"Desocupado (068)",9,,,,,,,,,,,,9
,,,,,,,,,,,,,
"URBANA (069)",1755,13,261,34,70,169,466,65,61,493,12,57,54
"Agric., ganadería, caza y silvicultura (070)",796,,1,1,,,466,,1,327,,,
"Pesca (071)",1,,,,,,,,,1,,,
"Explotación de minas y canteras (072)",8,,,,,,,3,,5,,,
"Industrias manufactureras (073)",53,,,,,,,48,5,,,,
"Suministro de electricidad, gas y agua (074)",6,,2,1,,,,2,1,,,,
"Construcción (075)",54,,,2,,,,5,26,21,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",149,,1,4,1,120,,4,,19,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",4,,,2,,1,,1,,,,,
"Comercio al por mayor (078)",6,,,,,6,,,,,,,
"Comercio al por menor (079)",139,,1,2,1,113,,3,,19,,,
"Hoteles y restaurantes (080)",57,,1,,,38,,,,18,,,
"Trans., almac. y comunicaciones (081)",29,,,1,,1,,,17,10,,,
"Intermediación financiera (082)",3,,1,1,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (083)",33,,5,6,4,8,,1,1,8,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",111,10,13,4,47,,,2,6,17,12,,
"Enseñanza (085)",236,3,224,,9,,,,,,,,
"Servicios sociales y de salud (086)",25,,8,6,5,2,,,4,,,,
"Otras activ. serv.comun.soc y personales (087)",36,,5,7,3,,,,,21,,,
"Hogares privados con servicio doméstico (088)",46,,,,,,,,,46,,,
"Actividad economica no especificada (090)",58,,,1,,,,,,,,57,
"Desocupado (091)",54,,,,,,,,,,,,54
"Hombres (092)",1171,10,142,26,34,58,384,60,61,311,11,26,48
"Agric., ganadería, caza y silvicultura (093)",627,,1,1,,,384,,1,240,,,
"Pesca (094)",1,,,,,,,,,1,,,
"Explotación de minas y canteras (095)",8,,,,,,,3,,5,,,
"Industrias manufactureras (096)",48,,,,,,,43,5,,,,
"Suministro de electricidad, gas y agua (097)",6,,2,1,,,,2,1,,,,
"Construcción (098)",54,,,2,,,,5,26,21,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",63,,,4,,46,,4,,9,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",4,,,2,,1,,1,,,,,
"Comercio al por mayor (101)",4,,,,,4,,,,,,,
"Comercio al por menor (102)",55,,,2,,41,,3,,9,,,
"Hoteles y restaurantes (103)",4,,1,,,3,,,,,,,
"Trans., almac. y comunicaciones (104)",27,,,1,,,,,17,9,,,
"Intermediación financiera (105)",2,,1,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (106)",26,,4,5,1,8,,1,1,6,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",78,7,7,4,26,,,2,6,15,11,,
"Enseñanza (108)",126,3,119,,4,,,,,,,,
"Servicios sociales y de salud (109)",9,,2,2,,1,,,4,,,,
"Otras activ. serv.comun.soc y personales (110)",15,,5,5,2,,,,,3,,,
"Hogares privados con servicio doméstico (111)",2,,,,,,,,,2,,,
"Actividad economica no especificada (113)",27,,,1,,,,,,,,26,
"Desocupado (114)",48,,,,,,,,,,,,48
"Mujeres (115)",584,3,119,8,36,111,82,5,,182,1,31,6
"Agric., ganadería, caza y silvicultura (116)",169,,,,,,82,,,87,,,
"Industrias manufactureras (119)",5,,,,,,,5,,,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",86,,1,,1,74,,,,10,,,
"Comercio al por mayor (124)",2,,,,,2,,,,,,,
"Comercio al por menor (125)",84,,1,,1,72,,,,10,,,
"Hoteles y restaurantes (126)",53,,,,,35,,,,18,,,
"Trans., almac. y comunicaciones (127)",2,,,,,1,,,,1,,,
"Intermediación financiera (128)",1,,,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",7,,1,1,3,,,,,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",33,3,6,,21,,,,,2,1,,
"Enseñanza (131)",110,,105,,5,,,,,,,,
"Servicios sociales y de salud (132)",16,,6,4,5,1,,,,,,,
"Otras activ. serv.comun.soc y personales (133)",21,,,2,1,,,,,18,,,
"Hogares privados con servicio doméstico (134)",44,,,,,,,,,44,,,
"Actividad economica no especificada (136)",31,,,,,,,,,,,31,
"Desocupado (137)",6,,,,,,,,,,,,6
,,,,,,,,,,,,,
"RURAL (138)",1156,4,87,12,12,39,501,97,29,323,,16,36
"Agric., ganadería, caza y silvicultura (139)",791,,,,,,501,,,290,,,
"Explotación de minas y canteras (141)",134,2,5,10,9,3,,82,12,11,,,
"Industrias manufactureras (142)",12,,,,,,,12,,,,,
"Construcción (144)",21,,1,,,,,1,12,7,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",38,,,,,32,,2,2,2,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",5,,,,,1,,2,2,,,,
"Comercio al por mayor (147)",3,,,,,3,,,,,,,
"Comercio al por menor (148)",30,,,,,28,,,,2,,,
"Hoteles y restaurantes (149)",3,,,,,2,,,,1,,,
"Activid.inmobil., empres. y alquileres (152)",6,,,1,,1,,,,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (153)",8,2,,1,3,,,,2,,,,
"Enseñanza (154)",78,,78,,,,,,,,,,
"Servicios sociales y de salud (155)",1,,,,,1,,,,,,,
"Otras activ. serv.comun.soc y personales (156)",5,,3,,,,,,1,1,,,
"Hogares privados con servicio doméstico (157)",7,,,,,,,,,7,,,
"Actividad economica no especificada (159)",16,,,,,,,,,,,16,
"Desocupado (160)",36,,,,,,,,,,,,36
"Hombres (161)",971,4,44,10,11,21,469,95,29,245,,10,33
"Agric., ganadería, caza y silvicultura (162)",692,,,,,,469,,,223,,,
"Explotación de minas y canteras (164)",130,2,5,9,9,3,,82,12,8,,,
"Industrias manufactureras (165)",10,,,,,,,10,,,,,
"Construcción (167)",21,,1,,,,,1,12,7,,,
