"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia COTABAMBAS (000)",42241,22791,2218,681,16637
"Quechua (001)",38091,21279,1003,490,15368
"Aymara (002)",70,26,7,2,36
"Asháninka (003)",7,4,,1,3
"Otra lengua nativa (004)",9,2,,,7
"Castellano (005)",4034,1470,1206,186,1207
"Idioma Extranjero (006)",2,,1,,1
"Es Sordomudo/a (007)",28,10,1,2,15
"Hombres (009)",21384,10090,1258,373,9715
"Quechua (010)",19127,9329,576,256,8989
"Aymara (011)",30,9,5,,16
"Asháninka (012)",6,3,,1,3
"Otra lengua nativa (013)",4,1,,,3
"Castellano (014)",2199,742,675,115,695
"Idioma Extranjero (015)",1,,1,,
"Es Sordomudo/a (016)",17,6,1,1,9
"Mujeres (018)",20857,12701,960,308,6922
"Quechua (019)",18964,11950,427,234,6379
"Aymara (020)",40,17,2,2,20
"Asháninka (021)",1,1,,,
"Otra lengua nativa (022)",5,1,,,4
"Castellano (023)",1835,728,531,71,512
"Idioma Extranjero (024)",1,,,,1
"Es Sordomudo/a (025)",11,4,,1,6
,,,,,
"URBANA (027)",11340,4668,1836,320,4564
"Quechua (028)",8038,3539,708,177,3628
"Aymara (029)",27,5,7,2,14
"Asháninka (030)",2,1,,,1
"Otra lengua nativa (031)",6,2,,,4
"Castellano (032)",3259,1118,1119,141,914
"Idioma Extranjero (033)",2,,1,,1
"Es Sordomudo/a (034)",6,3,1,,2
"Hombres (036)",5795,2007,1053,203,2566
"Quechua (037)",3989,1440,411,102,2043
"Aymara (038)",16,3,5,,8
"Asháninka (039)",2,1,,,1
"Otra lengua nativa (040)",2,1,,,1
"Castellano (041)",1780,560,635,101,511
"Idioma Extranjero (042)",1,,1,,
"Es Sordomudo/a (043)",5,2,1,,2
"Mujeres (045)",5545,2661,783,117,1998
"Quechua (046)",4049,2099,297,75,1585
"Aymara (047)",11,2,2,2,6
"Otra lengua nativa (049)",4,1,,,3
"Castellano (050)",1479,558,484,40,403
"Idioma Extranjero (051)",1,,,,1
"Es Sordomudo/a (052)",1,1,,,
,,,,,
"RURAL (054)",30901,18123,382,361,12073
"Quechua (055)",30053,17740,295,313,11740
"Aymara (056)",43,21,,,22
"Asháninka (057)",5,3,,1,2
"Otra lengua nativa (058)",3,,,,3
"Castellano (059)",775,352,87,45,293
"Es Sordomudo/a (061)",22,7,,2,13
"Hombres (063)",15589,8083,205,170,7149
"Quechua (064)",15138,7889,165,154,6946
"Aymara (065)",14,6,,,8
"Asháninka (066)",4,2,,1,2
"Otra lengua nativa (067)",2,,,,2
"Castellano (068)",419,182,40,14,184
"Es Sordomudo/a (070)",12,4,,1,7
"Mujeres (072)",15312,10040,177,191,4924
"Quechua (073)",14915,9851,130,159,4794
"Aymara (074)",29,15,,,14
"Asháninka (075)",1,1,,,
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",356,170,47,31,109
"Es Sordomudo/a (079)",10,3,,1,6
