"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PIURA (000)",225453,67559,45045,88858,4657,11551,7783
"Conviviente (001)",51598,12384,11858,23453,967,1708,1228
"Separado(a) (002)",9008,2683,1180,3926,153,179,887
"Casado(a) (003)",89601,26821,17246,38635,2444,3445,1010
"Viudo(a) (004)",4013,660,572,2329,147,144,161
"Divorciado(a) (005)",1082,531,61,414,39,10,27
"Soltero(a) (006)",70151,24480,14128,20101,907,6065,4470
"Hombres (008)",153110,37579,39729,64888,3467,7210,237
"Conviviente (009)",38305,7825,10589,18359,759,735,38
"Separado(a) (010)",3014,763,651,1477,62,54,7
"Casado(a) (011)",65083,16974,15624,29141,1932,1374,38
"Viudo(a) (012)",1860,198,425,1092,84,59,2
"Divorciado(a) (013)",485,208,43,207,26,1,
"Soltero(a) (014)",44363,11611,12397,14612,604,4987,152
"Mujeres (016)",72343,29980,5316,23970,1190,4341,7546
"Conviviente (017)",13293,4559,1269,5094,208,973,1190
"Separado(a) (018)",5994,1920,529,2449,91,125,880
"Casado(a) (019)",24518,9847,1622,9494,512,2071,972
"Viudo(a) (020)",2153,462,147,1237,63,85,159
"Divorciado(a) (021)",597,323,18,207,13,9,27
"Soltero(a) (022)",25788,12869,1731,5489,303,1078,4318
,,,,,,,
"URBANA (024)",197368,66582,31857,78899,4022,8554,7454
"Conviviente (025)",45661,12214,9014,20942,852,1429,1210
"Separado(a) (026)",8572,2646,1013,3751,145,158,859
"Casado(a) (027)",77378,26431,11819,33300,2029,2805,994
"Viudo(a) (028)",3500,651,411,2047,117,114,160
"Divorciado(a) (029)",1056,529,54,401,37,10,25
"Soltero(a) (030)",61201,24111,9546,18458,842,4038,4206
"Hombres (032)",127886,36979,27132,55937,2866,4747,225
"Conviviente (033)",32850,7708,7859,16034,652,563,34
"Separado(a) (034)",2749,750,517,1376,56,43,7
"Casado(a) (035)",53890,16700,10405,24248,1527,973,37
"Viudo(a) (036)",1452,193,286,871,58,42,2
"Divorciado(a) (037)",466,207,36,198,24,1,
"Soltero(a) (038)",36479,11421,8029,13210,549,3125,145
"Mujeres (040)",69482,29603,4725,22962,1156,3807,7229
"Conviviente (041)",12811,4506,1155,4908,200,866,1176
"Separado(a) (042)",5823,1896,496,2375,89,115,852
"Casado(a) (043)",23488,9731,1414,9052,502,1832,957
"Viudo(a) (044)",2048,458,125,1176,59,72,158
"Divorciado(a) (045)",590,322,18,203,13,9,25
"Soltero(a) (046)",24722,12690,1517,5248,293,913,4061
,,,,,,,
"RURAL (048)",28085,977,13188,9959,635,2997,329
"Conviviente (049)",5937,170,2844,2511,115,279,18
"Separado(a) (050)",436,37,167,175,8,21,28
"Casado(a) (051)",12223,390,5427,5335,415,640,16
"Viudo(a) (052)",513,9,161,282,30,30,1
"Divorciado(a) (053)",26,2,7,13,2,,2
"Soltero(a) (054)",8950,369,4582,1643,65,2027,264
"Hombres (056)",25224,600,12597,8951,601,2463,12
"Conviviente (057)",5455,117,2730,2325,107,172,4
"Separado(a) (058)",265,13,134,101,6,11,
"Casado(a) (059)",11193,274,5219,4893,405,401,1
"Viudo(a) (060)",408,5,139,221,26,17,
"Divorciado(a) (061)",19,1,7,9,2,,
"Soltero(a) (062)",7884,190,4368,1402,55,1862,7
"Mujeres (064)",2861,377,591,1008,34,534,317
"Conviviente (065)",482,53,114,186,8,107,14
"Separado(a) (066)",171,24,33,74,2,10,28
"Casado(a) (067)",1030,116,208,442,10,239,15
"Viudo(a) (068)",105,4,22,61,4,13,1
"Divorciado(a) (069)",7,1,,4,,,2
"Soltero(a) (070)",1066,179,214,241,10,165,257
