"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LORETO (000)",1331,77,719,346,165,24
"Sin nivel (001)",188,29,69,64,20,6
"Educación inicial (002)",1,,1,,,
"Primaria (003)",523,44,231,132,101,15
"Secundaria (004)",528,4,369,118,34,3
"Superior no univ. incompleta (005)",24,,19,4,1,
"Superior no univ. completa (006)",35,,18,13,4,
"Superior univ. incompleta (007)",18,,9,7,2,
"Superior univ. completa (008)",14,,3,8,3,
"Hombres (010)",1067,46,554,311,136,20
"Sin nivel (011)",146,20,49,60,13,4
"Educación inicial (012)",1,,1,,,
"Primaria (013)",409,24,170,121,81,13
"Secundaria (014)",448,2,305,106,32,3
"Superior no univ. incompleta (015)",14,,11,2,1,
"Superior no univ. completa (016)",24,,10,10,4,
"Superior univ. incompleta (017)",13,,6,5,2,
"Superior univ. completa (018)",12,,2,7,3,
"Mujeres (020)",264,31,165,35,29,4
"Sin nivel (021)",42,9,20,4,7,2
"Primaria (023)",114,20,61,11,20,2
"Secundaria (024)",80,2,64,12,2,
"Superior no univ. incompleta (025)",10,,8,2,,
"Superior no univ. completa (026)",11,,8,3,,
"Superior univ. incompleta (027)",5,,3,2,,
"Superior univ. completa (028)",2,,1,1,,
,,,,,,
"Area Urbana (030)",519,4,291,142,69,13
"Sin nivel (031)",10,,1,5,1,3
"Primaria (033)",135,3,49,42,34,7
"Secundaria (034)",296,1,201,67,24,3
"Superior no univ. incompleta (035)",20,,16,3,1,
"Superior no univ. completa (036)",32,,16,12,4,
"Superior univ. incompleta (037)",13,,5,6,2,
"Superior univ. completa (038)",13,,3,7,3,
"Hombres (040)",400,2,210,118,59,11
"Sin nivel (041)",10,,1,5,1,3
"Primaria (043)",98,2,28,38,25,5
"Secundaria (044)",240,,159,55,23,3
"Superior no univ. incompleta (045)",11,,9,1,1,
"Superior no univ. completa (046)",21,,8,9,4,
"Superior univ. incompleta (047)",9,,3,4,2,
"Superior univ. completa (048)",11,,2,6,3,
"Mujeres (050)",119,2,81,24,10,2
"Primaria (053)",37,1,21,4,9,2
"Secundaria (054)",56,1,42,12,1,
"Superior no univ. incompleta (055)",9,,7,2,,
"Superior no univ. completa (056)",11,,8,3,,
"Superior univ. incompleta (057)",4,,2,2,,
"Superior univ. completa (058)",2,,1,1,,
,,,,,,
"Area Rural (060)",812,73,428,204,96,11
"Sin nivel (061)",178,29,68,59,19,3
"Educación inicial (062)",1,,1,,,
"Primaria (063)",388,41,182,90,67,8
"Secundaria (064)",232,3,168,51,10,
"Superior no univ. incompleta (065)",4,,3,1,,
"Superior no univ. completa (066)",3,,2,1,,
"Superior univ. incompleta (067)",5,,4,1,,
"Superior univ. completa (068)",1,,,1,,
"Hombres (070)",667,44,344,193,77,9
"Sin nivel (071)",136,20,48,55,12,1
"Educación inicial (072)",1,,1,,,
"Primaria (073)",311,22,142,83,56,8
"Secundaria (074)",208,2,146,51,9,
"Superior no univ. incompleta (075)",3,,2,1,,
"Superior no univ. completa (076)",3,,2,1,,
"Superior univ. incompleta (077)",4,,3,1,,
"Superior univ. completa (078)",1,,,1,,
"Mujeres (080)",145,29,84,11,19,2
"Sin nivel (081)",42,9,20,4,7,2
"Primaria (083)",77,19,40,7,11,
"Secundaria (084)",24,1,22,,1,
"Superior no univ. incompleta (085)",1,,1,,,
"Superior univ. incompleta (087)",1,,1,,,
