"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHACHAPOYAS (000)",665,176,489
"De 14 a 29 años (001)",361,143,218
"De 30 a 44 años (002)",183,25,158
"De 45 a 64 años (003)",94,8,86
"De 65 y más años (004)",27,,27
"Hombres (005)",418,92,326
"De 14 a 29 años (006)",195,77,118
"De 30 a 44 años (007)",124,10,114
"De 45 a 64 años (008)",78,5,73
"De 65 y más años (009)",21,,21
"Mujeres (010)",247,84,163
"De 14 a 29 años (011)",166,66,100
"De 30 a 44 años (012)",59,15,44
"De 45 a 64 años (013)",16,3,13
"De 65 y más años (014)",6,,6
,,,
"AREA URBANA (015)",569,161,408
"De 14 a 29 años (016)",314,130,184
"De 30 a 44 años (017)",157,25,132
"De 45 a 64 años (018)",79,6,73
"De 65 y más años (019)",19,,19
"Hombres (020)",344,84,260
"De 14 a 29 años (021)",166,71,95
"De 30 a 44 años (022)",99,10,89
"De 45 a 64 años (023)",64,3,61
"De 65 y más años (024)",15,,15
"Mujeres (025)",225,77,148
"De 14 a 29 años (026)",148,59,89
"De 30 a 44 años (027)",58,15,43
"De 45 a 64 años (028)",15,3,12
"De 65 y más años (029)",4,,4
,,,
"AREA RURAL (030)",96,15,81
"De 14 a 29 años (031)",47,13,34
"De 30 a 44 años (032)",26,,26
"De 45 a 64 años (033)",15,2,13
"De 65 y más años (034)",8,,8
"Hombres (035)",74,8,66
"De 14 a 29 años (036)",29,6,23
"De 30 a 44 años (037)",25,,25
"De 45 a 64 años (038)",14,2,12
"De 65 y más años (039)",6,,6
"Mujeres (040)",22,7,15
"De 14 a 29 años (041)",18,7,11
"De 30 a 44 años (042)",1,,1
"De 45 a 64 años (043)",1,,1
"De 65 y más años (044)",2,,2
