"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PATAZ (000)",17376,295,7582,5540,1476,458,203,76,19,,1727
"Catolica (001)",13134,235,5669,4145,1160,343,167,65,15,,1335
"Cristiana / Evangelica (002)",3628,50,1647,1206,267,99,30,10,3,,316
"Otra (003)",212,2,86,68,22,7,3,1,,,23
"Ninguna (004)",402,8,180,121,27,9,3,,1,,53
,,,,,,,,,,,
"URBANA (006)",4825,57,1818,1514,524,175,81,25,7,,624
"Catolica (007)",3693,48,1377,1121,407,141,66,22,6,,505
"Cristiana / Evangelica (008)",932,7,368,322,96,29,11,3,1,,95
"Otra (009)",75,2,29,24,12,,2,,,,6
"Ninguna (010)",125,,44,47,9,5,2,,,,18
,,,,,,,,,,,
"RURAL (012)",12551,238,5764,4026,952,283,122,51,12,,1103
"Catolica (013)",9441,187,4292,3024,753,202,101,43,9,,830
"Cristiana / Evangelica (014)",2696,43,1279,884,171,70,19,7,2,,221
"Otra (015)",137,,57,44,10,7,1,1,,,17
"Ninguna (016)",277,8,136,74,18,4,1,,1,,35
