"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LAMPA (000)",36,30,6
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",2,2,
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",6,6,
"Cárcel, centro de readaptación social (005)",1,1,
"Otro (008)",19,14,5
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",7,6,1
