"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia HUALLAGA",,,,,,,,,
"Viviendas particulares (001)",5940,2492,641,155,,220,2165,161,106
"Ocupantes presentes (002)",24441,10482,2636,684,,1006,8543,619,471
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",4998,2440,633,134,,151,1381,155,104
"Ocupantes presentes (005)",20841,10245,2599,595,,741,5603,599,459
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",35,28,5,,,,,2,
"Ocupantes presentes (011)",139,108,26,,,,,5,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",21,18,2,1,,,,,
"Ocupantes presentes (014)",117,105,7,5,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",874,,,20,,69,780,3,2
"Ocupantes presentes (017)",3302,,,84,,265,2930,11,12
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2,1,1,,,,,,
"Ocupantes presentes (020)",10,6,4,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",6,5,,,,,,1,
"Ocupantes presentes (023)",22,18,,,,,,4,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",4,,,,,,4,,
"Ocupantes presentes (026)",10,,,,,,10,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",3218,2398,628,9,,11,31,126,15
"Ocupantes presentes (029)",13274,9918,2585,55,,55,135,485,41
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",3150,2346,620,8,,11,27,123,15
"Ocupantes presentes (032)",12976,9681,2548,50,,55,125,476,41
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",35,28,5,,,,,2,
"Ocupantes presentes (038)",139,108,26,,,,,5,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",21,18,2,1,,,,,
"Ocupantes presentes (041)",117,105,7,5,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2,1,1,,,,,,
"Ocupantes presentes (047)",10,6,4,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",6,5,,,,,,1,
"Ocupantes presentes (050)",22,18,,,,,,4,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",4,,,,,,4,,
"Ocupantes presentes (053)",10,,,,,,10,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2722,94,13,146,,209,2134,35,91
"Ocupantes presentes (056)",11167,564,51,629,,951,8408,134,430
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1848,94,13,126,,140,1354,32,89
"Ocupantes presentes (059)",7865,564,51,545,,686,5478,123,418
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",874,,,20,,69,780,3,2
"Ocupantes presentes (071)",3302,,,84,,265,2930,11,12
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
