"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHINCHA (000)",3117,754,2363
"De 14 a 29 años (001)",1713,626,1087
"De 30 a 44 años (002)",817,108,709
"De 45 a 64 años (003)",481,20,461
"De 65 y más años (004)",106,,106
"Hombres (005)",1962,415,1547
"De 14 a 29 años (006)",990,355,635
"De 30 a 44 años (007)",514,49,465
"De 45 a 64 años (008)",366,11,355
"De 65 y más años (009)",92,,92
"Mujeres (010)",1155,339,816
"De 14 a 29 años (011)",723,271,452
"De 30 a 44 años (012)",303,59,244
"De 45 a 64 años (013)",115,9,106
"De 65 y más años (014)",14,,14
,,,
"AREA URBANA (015)",2888,681,2207
"De 14 a 29 años (016)",1574,557,1017
"De 30 a 44 años (017)",772,106,666
"De 45 a 64 años (018)",447,18,429
"De 65 y más años (019)",95,,95
"Hombres (020)",1801,374,1427
"De 14 a 29 años (021)",906,318,588
"De 30 a 44 años (022)",478,47,431
"De 45 a 64 años (023)",336,9,327
"De 65 y más años (024)",81,,81
"Mujeres (025)",1087,307,780
"De 14 a 29 años (026)",668,239,429
"De 30 a 44 años (027)",294,59,235
"De 45 a 64 años (028)",111,9,102
"De 65 y más años (029)",14,,14
,,,
"AREA RURAL (030)",229,73,156
"De 14 a 29 años (031)",139,69,70
"De 30 a 44 años (032)",45,2,43
"De 45 a 64 años (033)",34,2,32
"De 65 y más años (034)",11,,11
"Hombres (035)",161,41,120
"De 14 a 29 años (036)",84,37,47
"De 30 a 44 años (037)",36,2,34
"De 45 a 64 años (038)",30,2,28
"De 65 y más años (039)",11,,11
"Mujeres (040)",68,32,36
"De 14 a 29 años (041)",55,32,23
"De 30 a 44 años (042)",9,,9
"De 45 a 64 años (043)",4,,4
