"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ICA (000)",129962,65092,12179,15394,37297
"Empleado (001)",38603,10271,5389,8774,14169
"Obrero (002)",43907,10473,4333,6276,22825
"Trabajador independiente (003)",38848,36867,1981,,
"Empleador o patrono (004)",2173,1500,239,240,194
"Trabajador familiar no remunerado (005)",3505,3055,237,104,109
"Trabajador del hogar (006)",2926,2926,,,
"De 06 a 14 años (008)",1159,906,128,83,42
"Empleado (009)",151,125,16,7,3
"Obrero (010)",281,150,40,55,36
"Trabajador independiente (011)",214,194,20,,
"Empleador o patrono (012)",2,2,,,
"Trabajador familiar no remunerado (013)",432,356,52,21,3
"Trabajador del hogar (014)",79,79,,,
"De 15 a 29 años (016)",44750,20582,4665,5381,14122
"Empleado (017)",12039,4556,1998,2479,3006
"Obrero (018)",19758,4040,1882,2827,11009
"Trabajador independiente (019)",9907,9265,642,,
"Empleador o patrono (020)",454,312,45,41,56
"Trabajador familiar no remunerado (021)",1276,1093,98,34,51
"Trabajador del hogar (022)",1316,1316,,,
"De 30 a 44 años (024)",47885,22613,4435,6130,14707
"Empleado (025)",15667,3511,2109,3837,6210
"Obrero (026)",15215,3231,1440,2158,8386
"Trabajador independiente (027)",14506,13751,755,,
"Empleador o patrono (028)",812,530,88,109,85
"Trabajador familiar no remunerado (029)",866,771,43,26,26
"Trabajador del hogar (030)",819,819,,,
"De 45 a 64 años (032)",31554,17418,2663,3531,7942
"Empleado (033)",10079,1884,1189,2324,4682
"Obrero (034)",7687,2503,861,1119,3204
"Trabajador independiente (035)",11720,11229,491,,
"Empleador o patrono (036)",722,515,87,76,44
"Trabajador familiar no remunerado (037)",692,633,35,12,12
"Trabajador del hogar (038)",654,654,,,
"De 65 y más años (040)",4614,3573,288,269,484
"Empleado (041)",667,195,77,127,268
"Obrero (042)",966,549,110,117,190
"Trabajador independiente (043)",2501,2428,73,,
"Empleador o patrono (044)",183,141,19,14,9
"Trabajador familiar no remunerado (045)",239,202,9,11,17
"Trabajador del hogar (046)",58,58,,,
,,,,,
"URBANA (048)",118522,60622,11078,14271,32551
"Empleado (049)",37330,9967,5176,8507,13680
"Obrero (050)",36467,8813,3590,5438,18626
"Trabajador independiente (051)",36702,34845,1857,,
