"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MORROPON (000)",50,50,
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",8,8,
"Casa pensión (003)",7,7,
"Hospital, clinica (004)",9,9,
"Asilo (006)",1,1,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",18,18,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",6,6,
