"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia VICTOR FAJARDO (000)",22338,3648,352,10546,5732,505,832,181,542
"Hombres (001)",10735,540,184,5135,3485,325,531,138,397
"Mujeres (002)",11603,3108,168,5411,2247,180,301,43,145
"PEA (003)",8645,1090,6,3427,2536,299,714,89,484
"Hombres (004)",5796,305,3,2316,2016,238,475,73,370
"Mujeres (005)",2849,785,3,1111,520,61,239,16,114
"Ocupada (006)",8327,1078,6,3301,2414,289,686,85,468
"Hombres (007)",5569,300,3,2227,1921,231,458,69,360
"Mujeres (008)",2758,778,3,1074,493,58,228,16,108
"Desocupada (009)",318,12,,126,122,10,28,4,16
"Hombres (010)",227,5,,89,95,7,17,4,10
"Mujeres (011)",91,7,,37,27,3,11,,6
"No PEA (012)",13693,2558,346,7119,3196,206,118,92,58
"Hombres (013)",4939,235,181,2819,1469,87,56,65,27
"Mujeres (014)",8754,2323,165,4300,1727,119,62,27,31
,,,,,,,,,
"URBANA (018)",16703,2378,229,7597,4640,452,751,162,494
"Hombres (019)",8096,329,121,3627,2758,289,479,121,372
"Mujeres (020)",8607,2049,108,3970,1882,163,272,41,122
"PEA (021)",6747,726,3,2494,2075,282,647,77,443
"Hombres (022)",4431,180,1,1585,1605,222,430,62,346
"Mujeres (023)",2316,546,2,909,470,60,217,15,97
"Ocupada (024)",6511,719,3,2427,1967,273,621,74,427
"Hombres (025)",4254,176,1,1533,1519,216,414,59,336
"Mujeres (026)",2257,543,2,894,448,57,207,15,91
"Desocupada (027)",236,7,,67,108,9,26,3,16
"Hombres (028)",177,4,,52,86,6,16,3,10
"Mujeres (029)",59,3,,15,22,3,10,,6
"No PEA (030)",9956,1652,226,5103,2565,170,104,85,51
"Hombres (031)",3665,149,120,2042,1153,67,49,59,26
"Mujeres (032)",6291,1503,106,3061,1412,103,55,26,25
,,,,,,,,,
"RURAL (036)",5635,1270,123,2949,1092,53,81,19,48
"Hombres (037)",2639,211,63,1508,727,36,52,17,25
"Mujeres (038)",2996,1059,60,1441,365,17,29,2,23
"PEA (039)",1898,364,3,933,461,17,67,12,41
"Hombres (040)",1365,125,2,731,411,16,45,11,24
"Mujeres (041)",533,239,1,202,50,1,22,1,17
"Ocupada (042)",1816,359,3,874,447,16,65,11,41
"Hombres (043)",1315,124,2,694,402,15,44,10,24
"Mujeres (044)",501,235,1,180,45,1,21,1,17
"Desocupada (045)",82,5,,59,14,1,2,1,
"Hombres (046)",50,1,,37,9,1,1,1,
"Mujeres (047)",32,4,,22,5,,1,,
"No PEA (048)",3737,906,120,2016,631,36,14,7,7
"Hombres (049)",1274,86,61,777,316,20,7,6,1
"Mujeres (050)",2463,820,59,1239,315,16,7,1,6
