"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia AIJA (000)",7955,155,2607,1736,1325,1226,906
"Jefe o Jefa (001)",2157,,3,262,598,700,594
"Esposa(o) / compañera(o) (002)",1351,,3,271,451,428,198
"Hijo(a) / hijastro(a) (003)",3337,107,2044,939,199,47,1
"Yerno / nuera (004)",82,,,50,26,5,1
"Nieto(a) (005)",546,38,415,90,3,,
"Padres / suegros (006)",94,,,,,15,79
"Otro(a) pariente (007)",325,9,135,97,33,23,28
"Trabajador(a) del hogar (008)",6,,1,5,,,
"Pensionistas (009)",10,,,4,4,2,
"Otro(a) no pariente (010)",47,1,6,18,11,6,5
"Hombres (011)",3969,77,1342,862,668,591,429
"Jefe o Jefa (012)",1597,,2,208,483,526,378
"Esposa(o) / compañera(o) (013)",57,,3,11,19,14,10
"Hijo(a) / hijastro(a) (014)",1739,54,1030,511,119,25,
"Yerno / nuera (015)",38,,,21,14,2,1
"Nieto(a) (016)",304,18,232,52,2,,
"Padres / suegros (017)",27,,,,,5,22
"Otro(a) pariente (018)",167,4,70,46,20,12,15
"Trabajador(a) del hogar (019)",3,,1,2,,,
"Pensionistas (020)",10,,,4,4,2,
"Otro(a) no pariente (021)",27,1,4,7,7,5,3
"Mujeres (022)",3986,78,1265,874,657,635,477
"Jefe o Jefa (023)",560,,1,54,115,174,216
"Esposa(o) / compañera(o) (024)",1294,,,260,432,414,188
"Hijo(a) / hijastro(a) (025)",1598,53,1014,428,80,22,1
"Yerno / nuera (026)",44,,,29,12,3,
"Nieto(a) (027)",242,20,183,38,1,,
"Padres / suegros (028)",67,,,,,10,57
"Otro(a) pariente (029)",158,5,65,51,13,11,13
"Trabajador(a) del hogar (030)",3,,,3,,,
"Otro(a) no pariente (032)",20,,2,11,4,1,2
,,,,,,,
"URBANA (033)",2488,43,723,511,431,424,356
"Jefe o Jefa (034)",749,,2,67,195,252,233
"Esposa(o) / compañera(o) (035)",428,,1,69,141,143,74
"Hijo(a) / hijastro(a) (036)",946,24,552,291,66,13,
"Yerno / nuera (037)",27,,,14,12,1,
"Nieto(a) (038)",161,16,117,26,2,,
"Padres / suegros (039)",39,,,,,5,34
"Otro(a) pariente (040)",105,2,44,31,10,7,11
"Trabajador(a) del hogar (041)",3,,1,2,,,
"Pensionistas (042)",3,,,2,,1,
"Otro(a) no pariente (043)",27,1,6,9,5,2,4
"Hombres (044)",1227,22,376,243,209,200,177
"Jefe o Jefa (045)",526,,1,47,151,173,154
"Esposa(o) / compañera(o) (046)",28,,1,4,7,11,5
"Hijo(a) / hijastro(a) (047)",498,15,286,154,35,8,
"Yerno / nuera (048)",12,,,6,6,,
"Nieto(a) (049)",85,6,63,15,1,,
"Padres / suegros (050)",13,,,,,3,10
"Otro(a) pariente (051)",45,,20,11,6,3,5
"Trabajador(a) del hogar (052)",1,,1,,,,
"Pensionistas (053)",3,,,2,,1,
"Otro(a) no pariente (054)",16,1,4,4,3,1,3
"Mujeres (055)",1261,21,347,268,222,224,179
"Jefe o Jefa (056)",223,,1,20,44,79,79
"Esposa(o) / compañera(o) (057)",400,,,65,134,132,69
"Hijo(a) / hijastro(a) (058)",448,9,266,137,31,5,
"Yerno / nuera (059)",15,,,8,6,1,
"Nieto(a) (060)",76,10,54,11,1,,
"Padres / suegros (061)",26,,,,,2,24
"Otro(a) pariente (062)",60,2,24,20,4,4,6
"Trabajador(a) del hogar (063)",2,,,2,,,
"Otro(a) no pariente (065)",11,,2,5,2,1,1
,,,,,,,
"RURAL (066)",5467,112,1884,1225,894,802,550
"Jefe o Jefa (067)",1408,,1,195,403,448,361
"Esposa(o) / compañera(o) (068)",923,,2,202,310,285,124
"Hijo(a) / hijastro(a) (069)",2391,83,1492,648,133,34,1
"Yerno / nuera (070)",55,,,36,14,4,1
"Nieto(a) (071)",385,22,298,64,1,,
"Padres / suegros (072)",55,,,,,10,45
"Otro(a) pariente (073)",220,7,91,66,23,16,17
"Trabajador(a) del hogar (074)",3,,,3,,,
"Pensionistas (075)",7,,,2,4,1,
"Otro(a) no pariente (076)",20,,,9,6,4,1
"Hombres (077)",2742,55,966,619,459,391,252
"Jefe o Jefa (078)",1071,,1,161,332,353,224
"Esposa(o) / compañera(o) (079)",29,,2,7,12,3,5
"Hijo(a) / hijastro(a) (080)",1241,39,744,357,84,17,
"Yerno / nuera (081)",26,,,15,8,2,1
"Nieto(a) (082)",219,12,169,37,1,,
"Padres / suegros (083)",14,,,,,2,12
"Otro(a) pariente (084)",122,4,50,35,14,9,10
"Trabajador(a) del hogar (085)",2,,,2,,,
"Pensionistas (086)",7,,,2,4,1,
"Otro(a) no pariente (087)",11,,,3,4,4,
"Mujeres (088)",2725,57,918,606,435,411,298
"Jefe o Jefa (089)",337,,,34,71,95,137
"Esposa(o) / compañera(o) (090)",894,,,195,298,282,119
"Hijo(a) / hijastro(a) (091)",1150,44,748,291,49,17,1
"Yerno / nuera (092)",29,,,21,6,2,
"Nieto(a) (093)",166,10,129,27,,,
"Padres / suegros (094)",41,,,,,8,33
"Otro(a) pariente (095)",98,3,41,31,9,7,7
"Trabajador(a) del hogar (096)",1,,,1,,,
"Otro(a) no pariente (098)",9,,,6,2,,1
