"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia YAULI",,,,,,,
"Viviendas particulares (001)",13427,4109,143,275,4753,3525,622
"Ocupantes presentes (002)",48147,14520,564,1181,18781,10711,2390
"Casa independiente",,,,,,,
"Viviendas particulares (004)",9949,3012,138,240,4178,1898,483
"Ocupantes presentes (005)",36603,10784,549,1025,16696,5671,1878
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",1485,186,,15,147,1103,34
"Ocupantes presentes (008)",4867,661,,65,528,3476,137
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",666,443,,10,139,50,24
"Ocupantes presentes (011)",2327,1440,,40,598,163,86
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",645,433,,9,137,45,21
"Ocupantes presentes (014)",2454,1570,,50,588,149,97
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",601,20,5,1,136,380,59
"Ocupantes presentes (017)",1741,36,15,1,336,1168,185
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",12,5,,,5,2,
"Ocupantes presentes (020)",24,9,,,9,6,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",27,6,,,9,11,1
"Ocupantes presentes (023)",69,9,,,22,31,7
"Otro tipo",,,,,,,
"Viviendas particulares (025)",42,4,,,2,36,
"Ocupantes presentes (026)",62,11,,,4,47,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",11405,3890,133,264,4135,2449,534
"Ocupantes presentes (029)",42472,14000,531,1153,16823,7831,2134
"Casa independiente",,,,,,,
"Viviendas particulares (031)",8555,2813,133,230,3696,1229,454
"Ocupantes presentes (032)",32706,10300,531,998,15074,3996,1807
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",1485,186,,15,147,1103,34
"Ocupantes presentes (035)",4867,661,,65,528,3476,137
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",666,443,,10,139,50,24
"Ocupantes presentes (038)",2327,1440,,40,598,163,86
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",645,433,,9,137,45,21
"Ocupantes presentes (041)",2454,1570,,50,588,149,97
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",12,5,,,5,2,
"Ocupantes presentes (047)",24,9,,,9,6,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",23,6,,,9,7,1
"Ocupantes presentes (050)",56,9,,,22,18,7
"Otro tipo",,,,,,,
"Viviendas particulares (052)",19,4,,,2,13,
"Ocupantes presentes (053)",38,11,,,4,23,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",2022,219,10,11,618,1076,88
"Ocupantes presentes (056)",5675,520,33,28,1958,2880,256
"Casa independiente",,,,,,,
"Viviendas particulares (058)",1394,199,5,10,482,669,29
"Ocupantes presentes (059)",3897,484,18,27,1622,1675,71
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",601,20,5,1,136,380,59
"Ocupantes presentes (071)",1741,36,15,1,336,1168,185
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",4,,,,,4,
"Ocupantes presentes (077)",13,,,,,13,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",23,,,,,23,
"Ocupantes presentes (080)",24,,,,,24,
