"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SANTA CRUZ (000)",618,203,415
"Sin nivel (001)",48,14,34
"Educación inicial (002)",1,1,
"Primaria (003)",267,78,189
"Secundaria (004)",257,90,167
"Superior no univ. incompleta (005)",9,3,6
"Superior no univ. completa (006)",19,8,11
"Superior univ. incompleta (007)",7,4,3
"Superior univ. completa (008)",10,5,5
"De 14 a 29 años (010)",321,147,174
"Sin nivel (011)",15,9,6
"Educación inicial (012)",1,1,
"Primaria (013)",110,54,56
"Secundaria (014)",173,70,103
"Superior no univ. incompleta (015)",3,1,2
"Superior no univ. completa (016)",7,5,2
"Superior univ. incompleta (017)",5,3,2
"Superior univ. completa (018)",7,4,3
"De 30 a 44 años (020)",163,47,116
"Sin nivel (021)",6,2,4
"Primaria (023)",69,19,50
"Secundaria (024)",71,19,52
"Superior no univ. incompleta (025)",4,2,2
"Superior no univ. completa (026)",9,3,6
"Superior univ. incompleta (027)",2,1,1
"Superior univ. completa (028)",2,1,1
"De 45 a 64 años (030)",103,9,94
"Sin nivel (031)",16,3,13
"Primaria (033)",69,5,64
"Secundaria (034)",13,1,12
"Superior no univ. incompleta (035)",2,,2
"Superior no univ. completa (036)",3,,3
"De 65 y más años (040)",31,,31
"Sin nivel (041)",11,,11
"Primaria (043)",19,,19
"Superior univ. completa (048)",1,,1
,,,
"AREA URBANA (050)",128,48,80
"Sin nivel (051)",5,,5
"Primaria (053)",35,10,25
"Secundaria (054)",59,25,34
"Superior no univ. incompleta (055)",5,2,3
"Superior no univ. completa (056)",11,5,6
"Superior univ. incompleta (057)",6,3,3
"Superior univ. completa (058)",7,3,4
"De 14 a 29 años (060)",63,33,30
"Sin nivel (061)",1,,1
"Primaria (063)",9,6,3
"Secundaria (064)",36,17,19
"Superior no univ. incompleta (065)",3,1,2
"Superior no univ. completa (066)",5,4,1
"Superior univ. incompleta (067)",4,2,2
"Superior univ. completa (068)",5,3,2
"De 30 a 44 años (070)",42,15,27
"Sin nivel (071)",1,,1
"Primaria (073)",14,4,10
"Secundaria (074)",18,8,10
"Superior no univ. incompleta (075)",1,1,
"Superior no univ. completa (076)",5,1,4
"Superior univ. incompleta (077)",2,1,1
"Superior univ. completa (078)",1,,1
"De 45 a 64 años (080)",18,,18
"Sin nivel (081)",3,,3
"Primaria (083)",8,,8
"Secundaria (084)",5,,5
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",1,,1
"De 65 y más años (090)",5,,5
"Primaria (093)",4,,4
"Superior univ. completa (098)",1,,1
,,,
"AREA RURAL (100)",490,155,335
"Sin nivel (101)",43,14,29
"Educación inicial (102)",1,1,
"Primaria (103)",232,68,164
"Secundaria (104)",198,65,133
"Superior no univ. incompleta (105)",4,1,3
"Superior no univ. completa (106)",8,3,5
"Superior univ. incompleta (107)",1,1,
"Superior univ. completa (108)",3,2,1
"De 14 a 29 años (110)",258,114,144
"Sin nivel (111)",14,9,5
"Educación inicial (112)",1,1,
"Primaria (113)",101,48,53
"Secundaria (114)",137,53,84
"Superior no univ. completa (116)",2,1,1
"Superior univ. incompleta (117)",1,1,
"Superior univ. completa (118)",2,1,1
"De 30 a 44 años (120)",121,32,89
"Sin nivel (121)",5,2,3
"Primaria (123)",55,15,40
"Secundaria (124)",53,11,42
"Superior no univ. incompleta (125)",3,1,2
"Superior no univ. completa (126)",4,2,2
"Superior univ. completa (128)",1,1,
"De 45 a 64 años (130)",85,9,76
"Sin nivel (131)",13,3,10
"Primaria (133)",61,5,56
"Secundaria (134)",8,1,7
"Superior no univ. incompleta (135)",1,,1
"Superior no univ. completa (136)",2,,2
"De 65 y más años (140)",26,,26
"Sin nivel (141)",11,,11
"Primaria (143)",15,,15
