"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",5991,68,2478,1988,533,170,70,29,5,,650
"Catolica (001)",5336,64,2183,1772,481,162,69,27,4,,574
"Cristiana / Evangelica (002)",637,4,290,206,49,8,1,2,1,,76
"Otra (003)",12,,4,6,2,,,,,,
"Ninguna (004)",6,,1,4,1,,,,,,
,,,,,,,,,,,
"URBANA (006)",797,8,284,259,94,32,16,7,2,,95
"Catolica (007)",713,7,250,233,80,30,16,7,2,,88
"Cristiana / Evangelica (008)",77,1,32,23,12,2,,,,,7
"Otra (009)",5,,2,2,1,,,,,,
"Ninguna (010)",2,,,1,1,,,,,,
,,,,,,,,,,,
"RURAL (012)",5194,60,2194,1729,439,138,54,22,3,,555
"Catolica (013)",4623,57,1933,1539,401,132,53,20,2,,486
"Cristiana / Evangelica (014)",560,3,258,183,37,6,1,2,1,,69
"Otra (015)",7,,2,4,1,,,,,,
"Ninguna (016)",4,,1,3,,,,,,,
