"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia SIHUAS (000)",15249,2304,4744,4321,3880
"Asiste actualmente (001)",10792,1110,4376,3803,1503
"No asiste (002)",4457,1194,368,518,2377
"Hombres (004)",7726,1192,2370,2210,1954
"Asiste actualmente (005)",5613,562,2188,1974,889
"No asiste (006)",2113,630,182,236,1065
"Mujeres (008)",7523,1112,2374,2111,1926
"Asiste actualmente (009)",5179,548,2188,1829,614
"No asiste (010)",2344,564,186,282,1312
,,,,,
"URBANA (012)",3689,499,1027,1080,1083
"Asiste actualmente (013)",2960,293,1003,1037,627
"No asiste (014)",729,206,24,43,456
"Hombres (016)",1893,261,526,575,531
"Asiste actualmente (017)",1554,154,515,554,331
"No asiste (018)",339,107,11,21,200
"Mujeres (020)",1796,238,501,505,552
"Asiste actualmente (021)",1406,139,488,483,296
"No asiste (022)",390,99,13,22,256
,,,,,
"RURAL (024)",11560,1805,3717,3241,2797
"Asiste actualmente (025)",7832,817,3373,2766,876
"No asiste (026)",3728,988,344,475,1921
"Hombres (028)",5833,931,1844,1635,1423
"Asiste actualmente (029)",4059,408,1673,1420,558
"No asiste (030)",1774,523,171,215,865
"Mujeres (032)",5727,874,1873,1606,1374
"Asiste actualmente (033)",3773,409,1700,1346,318
"No asiste (034)",1954,465,173,260,1056
