"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LEONCIO PRADO (000)",101702,21314,9440,3568,67591
"Hombres (001)",53297,10145,4722,2363,36223
"Mujeres (002)",48405,11169,4718,1205,31368
"PEA (003)",46569,3949,4616,1721,36381
"Hombres (004)",33650,2515,2770,1340,27102
"Mujeres (005)",12919,1434,1846,381,9279
"Ocupada (006)",44205,3740,4467,1671,34422
"Hombres (007)",31965,2394,2669,1304,25675
"Mujeres (008)",12240,1346,1798,367,8747
"Desocupada (009)",2364,209,149,50,1959
"Hombres (010)",1685,121,101,36,1427
"Mujeres (011)",679,88,48,14,532
"No PEA (012)",55133,17365,4824,1847,31210
"Hombres (013)",19647,7630,1952,1023,9121
"Mujeres (014)",35486,9735,2872,824,22089
,,,,,
"URBANA (018)",60602,9789,8577,2966,39438
"Hombres (019)",30208,4301,4255,1985,19791
"Mujeres (020)",30394,5488,4322,981,19647
"PEA (021)",28049,2042,4219,1466,20398
"Hombres (022)",17931,1025,2481,1128,13353
"Mujeres (023)",10118,1017,1738,338,7045
"Ocupada (024)",26549,1925,4081,1427,19189
"Hombres (025)",16962,969,2388,1101,12560
"Mujeres (026)",9587,956,1693,326,6629
"Desocupada (027)",1500,117,138,39,1209
"Hombres (028)",969,56,93,27,793
"Mujeres (029)",531,61,45,12,416
"No PEA (030)",32553,7747,4358,1500,19040
"Hombres (031)",12277,3276,1774,857,6438
"Mujeres (032)",20276,4471,2584,643,12602
,,,,,
"RURAL (036)",41100,11525,863,602,28153
"Hombres (037)",23089,5844,467,378,16432
"Mujeres (038)",18011,5681,396,224,11721
"PEA (039)",18520,1907,397,255,15983
"Hombres (040)",15719,1490,289,212,13749
"Mujeres (041)",2801,417,108,43,2234
"Ocupada (042)",17656,1815,386,244,15233
"Hombres (043)",15003,1425,281,203,13115
"Mujeres (044)",2653,390,105,41,2118
"Desocupada (045)",864,92,11,11,750
"Hombres (046)",716,65,8,9,634
"Mujeres (047)",148,27,3,2,116
"No PEA (048)",22580,9618,466,347,12170
"Hombres (049)",7370,4354,178,166,2683
"Mujeres (050)",15210,5264,288,181,9487
