"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia ACOBAMBA (000)",34494,5207,11400,8470,9417
"Asiste actualmente (001)",23374,1763,10845,7658,3108
"No asiste (002)",11120,3444,555,812,6309
"Hombres (004)",17315,2619,5759,4277,4660
"Asiste actualmente (005)",12177,852,5485,3998,1842
"No asiste (006)",5138,1767,274,279,2818
"Mujeres (008)",17179,2588,5641,4193,4757
"Asiste actualmente (009)",11197,911,5360,3660,1266
"No asiste (010)",5982,1677,281,533,3491
,,,,,
"URBANA (012)",9789,1399,3103,2417,2870
"Asiste actualmente (013)",7189,575,2991,2308,1315
"No asiste (014)",2600,824,112,109,1555
"Hombres (016)",4864,710,1536,1204,1414
"Asiste actualmente (017)",3653,280,1484,1164,725
"No asiste (018)",1211,430,52,40,689
"Mujeres (020)",4925,689,1567,1213,1456
"Asiste actualmente (021)",3536,295,1507,1144,590
"No asiste (022)",1389,394,60,69,866
,,,,,
"RURAL (024)",24705,3808,8297,6053,6547
"Asiste actualmente (025)",16185,1188,7854,5350,1793
"No asiste (026)",8520,2620,443,703,4754
"Hombres (028)",12451,1909,4223,3073,3246
"Asiste actualmente (029)",8524,572,4001,2834,1117
"No asiste (030)",3927,1337,222,239,2129
"Mujeres (032)",12254,1899,4074,2980,3301
"Asiste actualmente (033)",7661,616,3853,2516,676
"No asiste (034)",4593,1283,221,464,2625
