"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia ACOBAMBA (000)",22185,21206,7264,2263,2139,1895,3128,2356,2161,979
"Católica (001)",16417,15610,5394,1673,1595,1428,2305,1687,1528,807
"Cristiana/Evangélica (002)",5543,5380,1794,574,518,440,798,650,606,163
"Otra (003)",106,101,33,8,12,13,12,7,16,5
"Ninguna (004)",119,115,43,8,14,14,13,12,11,4
,,,,,,,,,,
"URBANA (006)",7074,6633,2223,767,759,653,1073,681,477,441
"Católica (007)",5791,5410,1845,638,630,534,876,521,366,381
"Cristiana/Evangélica (008)",1198,1146,343,123,118,112,192,158,100,52
"Otra (009)",45,41,19,4,3,4,3,,8,4
"Ninguna (010)",40,36,16,2,8,3,2,2,3,4
,,,,,,,,,,
"RURAL (012)",15111,14573,5041,1496,1380,1242,2055,1675,1684,538
"Católica (013)",10626,10200,3549,1035,965,894,1429,1166,1162,426
"Cristiana/Evangélica (014)",4345,4234,1451,451,400,328,606,492,506,111
"Otra (015)",61,60,14,4,9,9,9,7,8,1
"Ninguna (016)",79,79,27,6,6,11,11,10,8,
