"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia GRAN CHIMU (000)",13214,1904,3939,3385,3986
"Asiste actualmente (001)",7188,593,3544,2483,568
"No asiste (002)",6026,1311,395,902,3418
"Hombres (004)",6968,951,2026,1733,2258
"Asiste actualmente (005)",3684,282,1815,1257,330
"No asiste (006)",3284,669,211,476,1928
"Mujeres (008)",6246,953,1913,1652,1728
"Asiste actualmente (009)",3504,311,1729,1226,238
"No asiste (010)",2742,642,184,426,1490
,,,,,
"URBANA (012)",2760,328,791,747,894
"Asiste actualmente (013)",1851,173,763,670,245
"No asiste (014)",909,155,28,77,649
"Hombres (016)",1416,184,398,371,463
"Asiste actualmente (017)",932,96,384,324,128
"No asiste (018)",484,88,14,47,335
"Mujeres (020)",1344,144,393,376,431
"Asiste actualmente (021)",919,77,379,346,117
"No asiste (022)",425,67,14,30,314
,,,,,
"RURAL (024)",10454,1576,3148,2638,3092
"Asiste actualmente (025)",5337,420,2781,1813,323
"No asiste (026)",5117,1156,367,825,2769
"Hombres (028)",5552,767,1628,1362,1795
"Asiste actualmente (029)",2752,186,1431,933,202
"No asiste (030)",2800,581,197,429,1593
"Mujeres (032)",4902,809,1520,1276,1297
"Asiste actualmente (033)",2585,234,1350,880,121
"No asiste (034)",2317,575,170,396,1176
