"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUARMEY (000)",7557,120,2923,2432,741,287,147,48,7,,852
"Catolica (001)",6503,97,2480,2095,655,253,132,39,6,,746
"Cristiana / Evangelica (002)",854,18,365,275,68,18,14,8,1,,87
"Otra (003)",102,2,35,30,11,9,1,1,,,13
"Ninguna (004)",98,3,43,32,7,7,,,,,6
,,,,,,,,,,,
"URBANA (006)",5889,76,2144,1901,610,253,129,43,7,,726
"Catolica (007)",5084,63,1815,1648,539,221,117,35,6,,640
"Cristiana / Evangelica (008)",626,10,261,196,53,16,11,7,1,,71
"Otra (009)",96,2,32,28,11,9,1,1,,,12
"Ninguna (010)",83,1,36,29,7,7,,,,,3
,,,,,,,,,,,
"RURAL (012)",1668,44,779,531,131,34,18,5,,,126
"Catolica (013)",1419,34,665,447,116,32,15,4,,,106
"Cristiana / Evangelica (014)",228,8,104,79,15,2,3,1,,,16
"Otra (015)",6,,3,2,,,,,,,1
"Ninguna (016)",15,2,7,3,,,,,,,3
