"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",11948,74,3765,4481,1342,387,154,65,11,,1669
"Catolica (001)",10909,65,3443,4074,1231,351,138,59,10,,1538
"Cristiana / Evangelica (002)",545,5,167,210,69,17,13,3,1,,60
"Otra (003)",394,3,111,164,35,17,2,1,,,61
"Ninguna (004)",100,1,44,33,7,2,1,2,,,10
,,,,,,,,,,,
"URBANA (006)",7851,54,2480,2892,828,243,88,31,8,,1227
"Catolica (007)",7089,46,2238,2608,752,217,77,29,8,,1114
"Cristiana / Evangelica (008)",383,4,119,142,45,13,8,1,,,51
"Otra (009)",299,3,84,119,26,12,2,,,,53
"Ninguna (010)",80,1,39,23,5,1,1,1,,,9
,,,,,,,,,,,
"RURAL (012)",4097,20,1285,1589,514,144,66,34,3,,442
"Catolica (013)",3820,19,1205,1466,479,134,61,30,2,,424
"Cristiana / Evangelica (014)",162,1,48,68,24,4,5,2,1,,9
"Otra (015)",95,,27,45,9,5,,1,,,8
"Ninguna (016)",20,,5,10,2,1,,1,,,1
