"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUARAL (000)",155687,6193,31860,31006,26753,22003,15800,10130,11942
"Quechua (001)",5488,15,171,437,1068,1408,995,626,768
"Aymara (002)",27,1,8,6,2,2,3,3,2
"Ashaninca (003)",14,1,4,8,1,,,,
"Otra lengua nativa (004)",121,3,11,2,69,14,11,8,3
"Castellano (005)",149814,6171,31634,30495,25528,20560,14779,9489,11158
"Idioma extranjero (006)",14,,1,,6,3,2,,2
"Es sordomudo/a (007)",209,2,31,58,79,16,10,4,9
"Hombres (009)",78760,3167,16252,15731,13438,10913,8034,5168,6057
"Quechua (010)",2937,4,82,210,613,768,569,327,364
"Aymara (011)",20,1,4,6,,2,2,3,2
"Ashaninca (012)",4,,,4,,,,,
"Otra lengua nativa (013)",68,2,7,,59,,,,
"Castellano (014)",75593,3158,16139,15474,12711,10136,7453,4837,5685
"Idioma extranjero (015)",9,,1,,4,2,2,,
"Es sordomudo/a (016)",129,2,19,37,51,5,8,1,6
"Mujeres (018)",76927,3026,15608,15275,13315,11090,7766,4962,5885
"Quechua (019)",2551,11,89,227,455,640,426,299,404
"Aymara (020)",7,,4,,2,,1,,
"Ashaninca (021)",10,1,4,4,1,,,,
"Otra lengua nativa (022)",53,1,4,2,10,14,11,8,3
"Castellano (023)",74221,3013,15495,15021,12817,10424,7326,4652,5473
"Idioma extranjero (024)",5,,,,2,1,,,2
"Es sordomudo/a (025)",80,,12,21,28,11,2,3,3
,,,,,,,,,
"URBANA (027)",128991,5147,26854,25665,21904,18376,13138,8330,9577
"Quechua (028)",4432,11,148,336,808,1173,818,509,629
"Aymara (029)",27,1,8,6,2,2,3,3,2
"Ashaninca (030)",11,,2,8,1,,,,
"Otra lengua nativa (031)",54,2,6,1,10,14,10,8,3
"Castellano (032)",124289,5131,26663,25270,21018,17169,12298,7807,8933
"Idioma extranjero (033)",9,,1,,4,3,,,1
"Es sordomudo/a (034)",169,2,26,44,61,15,9,3,9
"Hombres (036)",64080,2652,13645,12785,10621,8902,6521,4153,4801
"Quechua (037)",2222,3,66,171,426,608,446,239,263
"Aymara (038)",20,1,4,6,,2,2,3,2
"Ashaninca (039)",4,,,4,,,,,
"Otra lengua nativa (040)",9,2,5,,2,,,,
"Castellano (041)",61717,2644,13552,12572,10157,8286,6066,3910,4530
"Idioma extranjero (042)",5,,1,,2,2,,,
"Es sordomudo/a (043)",103,2,17,32,34,4,7,1,6
"Mujeres (045)",64911,2495,13209,12880,11283,9474,6617,4177,4776
"Quechua (046)",2210,8,82,165,382,565,372,270,366
"Aymara (047)",7,,4,,2,,1,,
"Ashaninca (048)",7,,2,4,1,,,,
"Otra lengua nativa (049)",45,,1,1,8,14,10,8,3
"Castellano (050)",62572,2487,13111,12698,10861,8883,6232,3897,4403
"Idioma extranjero (051)",4,,,,2,1,,,1
"Es sordomudo/a (052)",66,,9,12,27,11,2,2,3
,,,,,,,,,
"RURAL (054)",26696,1046,5006,5341,4849,3627,2662,1800,2365
"Quechua (055)",1056,4,23,101,260,235,177,117,139
"Ashaninca (057)",3,1,2,,,,,,
"Otra lengua nativa (058)",67,1,5,1,59,,1,,
"Castellano (059)",25525,1040,4971,5225,4510,3391,2481,1682,2225
"Idioma extranjero (060)",5,,,,2,,2,,1
"Es sordomudo/a (061)",40,,5,14,18,1,1,1,
"Hombres (063)",14680,515,2607,2946,2817,2011,1513,1015,1256
"Quechua (064)",715,1,16,39,187,160,123,88,101
"Otra lengua nativa (067)",59,,2,,57,,,,
"Castellano (068)",13876,514,2587,2902,2554,1850,1387,927,1155
"Idioma extranjero (069)",4,,,,2,,2,,
"Es sordomudo/a (070)",26,,2,5,17,1,1,,
"Mujeres (072)",12016,531,2399,2395,2032,1616,1149,785,1109
"Quechua (073)",341,3,7,62,73,75,54,29,38
"Ashaninca (075)",3,1,2,,,,,,
"Otra lengua nativa (076)",8,1,3,1,2,,1,,
"Castellano (077)",11649,526,2384,2323,1956,1541,1094,755,1070
"Idioma extranjero (078)",1,,,,,,,,1
"Es sordomudo/a (079)",14,,3,9,1,,,1,
