"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia HUANCAVELICA (000)",33548,21472,12076
"Red pública dentro de la vivienda (001)",9845,9067,778
"Red pública fuera de la vivienda (002)",3744,3357,387
"Pilón de uso público (003)",1628,1126,502
"Camión - cisterna u otro similar (004)",15,10,5
"Pozo (005)",1052,424,628
"Río, acequia, manatial o similar (006)",15782,6773,9009
"Vecino (007)",1105,541,564
"Otro (008)",377,174,203
,,,
"URBANA (010)",14318,12656,1662
"Red pública dentro de la vivienda (011)",7959,7534,425
"Red pública fuera de la vivienda (012)",2800,2629,171
"Pilón de uso público (013)",732,592,140
"Camión - cisterna u otro similar (014)",7,6,1
"Pozo (015)",158,97,61
"Río, acequia, manatial o similar (016)",1976,1384,592
"Vecino (017)",533,314,219
"Otro (018)",153,100,53
,,,
"RURAL (020)",19230,8816,10414
"Red pública dentro de la vivienda (021)",1886,1533,353
"Red pública fuera de la vivienda (022)",944,728,216
"Pilón de uso público (023)",896,534,362
"Camión - cisterna u otro similar (024)",8,4,4
"Pozo (025)",894,327,567
"Río, acequia, manatial o similar (026)",13806,5389,8417
"Vecino (027)",572,227,345
"Otro (028)",224,74,150
