"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia YAUYOS (000)",21177,2593,2811,4011,3712,2714,5336
"Conviviente (001)",5298,48,739,1917,1418,634,542
"Separado(a) (002)",629,2,51,125,146,146,159
"Casado(a) (003)",7104,10,75,805,1565,1532,3117
"Viudo(a) (004)",1344,1,5,28,62,113,1135
"Divorciado(a) (005)",84,,1,9,19,24,31
"Soltero(a) (006)",6718,2532,1940,1127,502,265,352
"Hombres (008)",11736,1358,1622,2389,2195,1543,2629
"Conviviente (009)",3011,24,315,1156,858,352,306
"Separado(a) (010)",274,2,10,49,62,83,68
"Casado(a) (011)",4063,4,35,457,932,898,1737
"Viudo(a) (012)",392,,4,7,22,35,324
"Divorciado(a) (013)",48,,,6,11,15,16
"Soltero(a) (014)",3948,1328,1258,714,310,160,178
"Mujeres (016)",9441,1235,1189,1622,1517,1171,2707
"Conviviente (017)",2287,24,424,761,560,282,236
"Separado(a) (018)",355,,41,76,84,63,91
"Casado(a) (019)",3041,6,40,348,633,634,1380
"Viudo(a) (020)",952,1,1,21,40,78,811
"Divorciado(a) (021)",36,,1,3,8,9,15
"Soltero(a) (022)",2770,1204,682,413,192,105,174
,,,,,,,
"URBANA (024)",12047,1685,1488,2058,2047,1538,3231
"Conviviente (025)",2631,22,337,919,723,347,283
"Separado(a) (026)",375,2,28,67,90,93,95
"Casado(a) (027)",4057,4,30,403,866,858,1896
"Viudo(a) (028)",827,,1,14,33,63,716
"Divorciado(a) (029)",47,,1,5,13,9,19
"Soltero(a) (030)",4110,1657,1091,650,322,168,222
"Hombres (032)",6093,880,791,1044,1028,806,1544
"Conviviente (033)",1336,14,106,482,383,190,161
"Separado(a) (034)",143,2,3,21,32,49,36
"Casado(a) (035)",2087,2,7,164,415,456,1043
"Viudo(a) (036)",215,,1,2,9,16,187
"Divorciado(a) (037)",22,,,3,6,4,9
"Soltero(a) (038)",2290,862,674,372,183,91,108
"Mujeres (040)",5954,805,697,1014,1019,732,1687
"Conviviente (041)",1295,8,231,437,340,157,122
"Separado(a) (042)",232,,25,46,58,44,59
"Casado(a) (043)",1970,2,23,239,451,402,853
"Viudo(a) (044)",612,,,12,24,47,529
"Divorciado(a) (045)",25,,1,2,7,5,10
"Soltero(a) (046)",1820,795,417,278,139,77,114
,,,,,,,
"RURAL (048)",9130,908,1323,1953,1665,1176,2105
"Conviviente (049)",2667,26,402,998,695,287,259
"Separado(a) (050)",254,,23,58,56,53,64
"Casado(a) (051)",3047,6,45,402,699,674,1221
"Viudo(a) (052)",517,1,4,14,29,50,419
"Divorciado(a) (053)",37,,,4,6,15,12
"Soltero(a) (054)",2608,875,849,477,180,97,130
"Hombres (056)",5643,478,831,1345,1167,737,1085
"Conviviente (057)",1675,10,209,674,475,162,145
"Separado(a) (058)",131,,7,28,30,34,32
"Casado(a) (059)",1976,2,28,293,517,442,694
"Viudo(a) (060)",177,,3,5,13,19,137
"Divorciado(a) (061)",26,,,3,5,11,7
"Soltero(a) (062)",1658,466,584,342,127,69,70
"Mujeres (064)",3487,430,492,608,498,439,1020
"Conviviente (065)",992,16,193,324,220,125,114
"Separado(a) (066)",123,,16,30,26,19,32
"Casado(a) (067)",1071,4,17,109,182,232,527
"Viudo(a) (068)",340,1,1,9,16,31,282
"Divorciado(a) (069)",11,,,1,1,4,5
"Soltero(a) (070)",950,409,265,135,53,28,60
