"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia ANGARAES",,,,,,
"Viviendas particulares (001)",13518,13408,106,3,1,
"Ocupantes presentes (002)",55528,54670,810,33,15,
"Casa independiente",,,,,,
"Viviendas particulares (004)",12279,12177,99,2,1,
"Ocupantes presentes (005)",51169,50385,752,17,15,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",9,9,,,,
"Ocupantes presentes (008)",31,31,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",124,118,6,,,
"Ocupantes presentes (011)",420,368,52,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",47,46,,1,,
"Ocupantes presentes (014)",136,120,,16,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",1039,1038,1,,,
"Ocupantes presentes (017)",3716,3710,6,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",1,1,,,,
"Ocupantes presentes (020)",2,2,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",17,17,,,,
"Ocupantes presentes (023)",50,50,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",2,2,,,,
"Ocupantes presentes (026)",4,4,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",4232,4139,90,3,,
"Ocupantes presentes (029)",15911,15200,678,33,,
"Casa independiente",,,,,,
"Viviendas particulares (031)",4037,3951,84,2,,
"Ocupantes presentes (032)",15277,14634,626,17,,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",9,9,,,,
"Ocupantes presentes (035)",31,31,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",124,118,6,,,
"Ocupantes presentes (038)",420,368,52,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",47,46,,1,,
"Ocupantes presentes (041)",136,120,,16,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",1,1,,,,
"Ocupantes presentes (047)",2,2,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",14,14,,,,
"Ocupantes presentes (050)",45,45,,,,
"Otro tipo",,,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",9286,9269,16,,1,
"Ocupantes presentes (056)",39617,39470,132,,15,
"Casa independiente",,,,,,
"Viviendas particulares (058)",8242,8226,15,,1,
"Ocupantes presentes (059)",35892,35751,126,,15,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",1039,1038,1,,,
"Ocupantes presentes (071)",3716,3710,6,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",3,3,,,,
"Ocupantes presentes (077)",5,5,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",2,2,,,,
"Ocupantes presentes (080)",4,4,,,,
