"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CONTUMAZA (000)",17400,7089,253,279,8971,362,10,58,1,377
"Hombres (001)",6048,3685,176,207,1464,226,9,33,1,247
"Mujeres (002)",11352,3404,77,72,7507,136,1,25,,130
"De 06 a 14 años (003)",5770,5384,,,210,69,,10,,97
"Hombres (004)",2924,2783,,,57,37,,4,,43
"Mujeres (005)",2846,2601,,,153,32,,6,,54
"De 15 a 29 años (006)",4301,1660,2,51,2455,,1,13,1,118
"Hombres (007)",1368,890,1,34,354,,1,8,1,79
"Mujeres (008)",2933,770,1,17,2101,,,5,,39
"De 30 a 44 años (009)",2593,30,2,42,2449,,3,9,,58
"Hombres (010)",421,9,1,28,329,,3,3,,48
"Mujeres (011)",2172,21,1,14,2120,,,6,,10
"De 45 a 64 años (012)",2515,13,70,73,2288,12,5,10,,44
"Hombres (013)",512,2,44,57,352,10,4,7,,36
"Mujeres (014)",2003,11,26,16,1936,2,1,3,,8
"De 65 y más años (015)",2221,2,179,113,1569,281,1,16,,60
"Hombres (016)",823,1,130,88,372,179,1,11,,41
"Mujeres (017)",1398,1,49,25,1197,102,,5,,19
,,,,,,,,,,
"AREA URBANA (018)",7083,3311,214,114,3152,97,5,26,1,163
"Hombres (019)",2653,1703,144,71,559,48,4,14,1,109
"Mujeres (020)",4430,1608,70,43,2593,49,1,12,,54
"De 06 a 14 años (021)",2280,2218,,,27,10,,6,,19
"Hombres (022)",1178,1153,,,11,5,,2,,7
"Mujeres (023)",1102,1065,,,16,5,,4,,12
"De 15 a 29 años (024)",1889,1066,1,11,749,,,2,1,59
"Hombres (025)",731,544,,6,143,,,,1,37
"Mujeres (026)",1158,522,1,5,606,,,2,,22
"De 30 a 44 años (027)",932,17,2,18,868,,2,3,,22
"Hombres (028)",153,4,1,6,119,,2,2,,19
"Mujeres (029)",779,13,1,12,749,,,1,,3
"De 45 a 64 años (030)",1006,9,59,37,871,1,3,6,,20
"Hombres (031)",203,1,33,25,120,1,2,4,,17
"Mujeres (032)",803,8,26,12,751,,1,2,,3
"De 65 y más años (033)",976,1,152,48,637,86,,9,,43
"Hombres (034)",388,1,110,34,166,42,,6,,29
"Mujeres (035)",588,,42,14,471,44,,3,,14
,,,,,,,,,,
"AREA RURAL (036)",10317,3778,39,165,5819,265,5,32,,214
"Hombres (037)",3395,1982,32,136,905,178,5,19,,138
"Mujeres (038)",6922,1796,7,29,4914,87,,13,,76
"De 06 a 14 años (039)",3490,3166,,,183,59,,4,,78
"Hombres (040)",1746,1630,,,46,32,,2,,36
"Mujeres (041)",1744,1536,,,137,27,,2,,42
"De 15 a 29 años (042)",2412,594,1,40,1706,,1,11,,59
"Hombres (043)",637,346,1,28,211,,1,8,,42
"Mujeres (044)",1775,248,,12,1495,,,3,,17
"De 30 a 44 años (045)",1661,13,,24,1581,,1,6,,36
"Hombres (046)",268,5,,22,210,,1,1,,29
"Mujeres (047)",1393,8,,2,1371,,,5,,7
"De 45 a 64 años (048)",1509,4,11,36,1417,11,2,4,,24
"Hombres (049)",309,1,11,32,232,9,2,3,,19
"Mujeres (050)",1200,3,,4,1185,2,,1,,5
"De 65 y más años (051)",1245,1,27,65,932,195,1,7,,17
"Hombres (052)",435,,20,54,206,137,1,5,,12
"Mujeres (053)",810,1,7,11,726,58,,2,,5
